Source Function,Target Function
"setTransferAgent(address,bool)","bulkTransfer(address[],uint256[])"
"approve(address,uint256)","bulkTransfer(address[],uint256[])"
"transferFrom(address,address,uint256)","bulkTransfer(address[],uint256[])"
removeAddressFromWhitelist(address),"bulkTransfer(address[],uint256[])"
burn(uint256),"bulkTransfer(address[],uint256[])"
"decreaseApproval(address,uint256)","bulkTransfer(address[],uint256[])"
addAddressToWhitelist(address),"bulkTransfer(address[],uint256[])"
"transfer(address,uint256)","bulkTransfer(address[],uint256[])"
"increaseApproval(address,uint256)","bulkTransfer(address[],uint256[])"
removeAddressFromWhitelist(address),reclaimToken(address)
disableTransfers(),reclaimToken(address)
setSoftCapReached(),reclaimToken(address)
unpause(),reclaimToken(address)
burn(uint256),reclaimToken(address)
setICOEndDate(uint256),reclaimToken(address)
renounceOwnership(),reclaimToken(address)
addAddressToWhitelist(address),reclaimToken(address)
pause(),reclaimToken(address)
enableTransfers(),reclaimToken(address)
transferOwnership(address),reclaimToken(address)
"setTransferAgent(address,bool)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"bulkTransfer(address[],uint256[])","transferFrom(address,address,uint256)"
removeAddressFromWhitelist(address),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
addAddressToWhitelist(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"setTransferAgent(address,bool)",removeAddressFromWhitelist(address)
"approve(address,uint256)",removeAddressFromWhitelist(address)
"bulkTransfer(address[],uint256[])",removeAddressFromWhitelist(address)
"transferFrom(address,address,uint256)",removeAddressFromWhitelist(address)
burn(uint256),removeAddressFromWhitelist(address)
"decreaseApproval(address,uint256)",removeAddressFromWhitelist(address)
addAddressToWhitelist(address),removeAddressFromWhitelist(address)
"transfer(address,uint256)",removeAddressFromWhitelist(address)
"increaseApproval(address,uint256)",removeAddressFromWhitelist(address)
disableTransfers(),removeAddressFromWhitelist(address)
setSoftCapReached(),removeAddressFromWhitelist(address)
unpause(),removeAddressFromWhitelist(address)
setICOEndDate(uint256),removeAddressFromWhitelist(address)
renounceOwnership(),removeAddressFromWhitelist(address)
pause(),removeAddressFromWhitelist(address)
enableTransfers(),removeAddressFromWhitelist(address)
transferOwnership(address),removeAddressFromWhitelist(address)
removeAddressFromWhitelist(address),reclaimContract(address)
disableTransfers(),reclaimContract(address)
setSoftCapReached(),reclaimContract(address)
unpause(),reclaimContract(address)
burn(uint256),reclaimContract(address)
setICOEndDate(uint256),reclaimContract(address)
renounceOwnership(),reclaimContract(address)
addAddressToWhitelist(address),reclaimContract(address)
pause(),reclaimContract(address)
enableTransfers(),reclaimContract(address)
transferOwnership(address),reclaimContract(address)
"setTransferAgent(address,bool)",burn(uint256)
"approve(address,uint256)",burn(uint256)
"bulkTransfer(address[],uint256[])",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
removeAddressFromWhitelist(address),burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
addAddressToWhitelist(address),burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
removeAddressFromWhitelist(address),renounceOwnership()
disableTransfers(),renounceOwnership()
setSoftCapReached(),renounceOwnership()
unpause(),renounceOwnership()
burn(uint256),renounceOwnership()
setICOEndDate(uint256),renounceOwnership()
addAddressToWhitelist(address),renounceOwnership()
pause(),renounceOwnership()
enableTransfers(),renounceOwnership()
transferOwnership(address),renounceOwnership()
"setTransferAgent(address,bool)",addAddressToWhitelist(address)
"approve(address,uint256)",addAddressToWhitelist(address)
"bulkTransfer(address[],uint256[])",addAddressToWhitelist(address)
"transferFrom(address,address,uint256)",addAddressToWhitelist(address)
removeAddressFromWhitelist(address),addAddressToWhitelist(address)
burn(uint256),addAddressToWhitelist(address)
"decreaseApproval(address,uint256)",addAddressToWhitelist(address)
"transfer(address,uint256)",addAddressToWhitelist(address)
"increaseApproval(address,uint256)",addAddressToWhitelist(address)
removeAddressFromWhitelist(address),reclaimEther()
disableTransfers(),reclaimEther()
setSoftCapReached(),reclaimEther()
unpause(),reclaimEther()
burn(uint256),reclaimEther()
setICOEndDate(uint256),reclaimEther()
renounceOwnership(),reclaimEther()
addAddressToWhitelist(address),reclaimEther()
pause(),reclaimEther()
enableTransfers(),reclaimEther()
transferOwnership(address),reclaimEther()
"setTransferAgent(address,bool)","transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"bulkTransfer(address[],uint256[])","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
removeAddressFromWhitelist(address),"transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
addAddressToWhitelist(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
removeAddressFromWhitelist(address),transferOwnership(address)
disableTransfers(),transferOwnership(address)
setSoftCapReached(),transferOwnership(address)
unpause(),transferOwnership(address)
burn(uint256),transferOwnership(address)
setICOEndDate(uint256),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
addAddressToWhitelist(address),transferOwnership(address)
pause(),transferOwnership(address)
enableTransfers(),transferOwnership(address)
