Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint64)","transferFrom(address,address,uint256)"
withdraw(),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
timeout(address),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","mint(address,uint64)"
"transferFrom(address,address,uint256)","mint(address,uint64)"
withdraw(),"mint(address,uint64)"
"decreaseApproval(address,uint256)","mint(address,uint64)"
"transfer(address,uint256)","mint(address,uint64)"
timeout(address),"mint(address,uint64)"
"increaseApproval(address,uint256)","mint(address,uint64)"
"mint(address,uint64)",setMod(address)
newPeriod(),setMod(address)
transferOwnership(address),setMod(address)
"approve(address,uint256)",withdraw()
"transferFrom(address,address,uint256)",withdraw()
"mint(address,uint64)",withdraw()
"decreaseApproval(address,uint256)",withdraw()
"transfer(address,uint256)",withdraw()
timeout(address),withdraw()
"increaseApproval(address,uint256)",withdraw()
"mint(address,uint64)",newPeriod()
setMod(address),newPeriod()
transferOwnership(address),newPeriod()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mint(address,uint64)","transfer(address,uint256)"
withdraw(),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
timeout(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)",timeout(address)
"transferFrom(address,address,uint256)",timeout(address)
"mint(address,uint64)",timeout(address)
withdraw(),timeout(address)
"decreaseApproval(address,uint256)",timeout(address)
"transfer(address,uint256)",timeout(address)
"increaseApproval(address,uint256)",timeout(address)
"mint(address,uint64)",transferOwnership(address)
setMod(address),transferOwnership(address)
newPeriod(),transferOwnership(address)
