Source Function,Target Function
burn(uint256),"transferAdvisorToken(address,uint256)"
"burnFrom(address,uint256)","transferAdvisorToken(address,uint256)"
changeTransferStep(uint8),"transferAdvisorToken(address,uint256)"
lockToken(),"transferAdvisorToken(address,uint256)"
changeTransferStepLock(bool),"transferAdvisorToken(address,uint256)"
releaseToken(),"transferAdvisorToken(address,uint256)"
transferOwnership(address),"transferAdvisorToken(address,uint256)"
"approve(address,uint256)","transferAdvisorToken(address,uint256)"
"transferFrom(address,address,uint256)","transferAdvisorToken(address,uint256)"
"transferSoldToken(address,address,uint256)","transferAdvisorToken(address,uint256)"
"decreaseApproval(address,uint256)","transferAdvisorToken(address,uint256)"
"transferBonusToken(address,uint256)","transferAdvisorToken(address,uint256)"
"transfer(address,uint256)","transferAdvisorToken(address,uint256)"
registIcoAddress(address),"transferAdvisorToken(address,uint256)"
"registHolderStep(address,uint8,address)","transferAdvisorToken(address,uint256)"
unregisttIcoAddress(address),"transferAdvisorToken(address,uint256)"
"increaseApproval(address,uint256)","transferAdvisorToken(address,uint256)"
"transferAdvisorToken(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"transferSoldToken(address,address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"transferBonusToken(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
registIcoAddress(address),"transferFrom(address,address,uint256)"
"registHolderStep(address,uint8,address)","transferFrom(address,address,uint256)"
unregisttIcoAddress(address),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transferAdvisorToken(address,uint256)","transferSoldToken(address,address,uint256)"
"approve(address,uint256)","transferSoldToken(address,address,uint256)"
"transferFrom(address,address,uint256)","transferSoldToken(address,address,uint256)"
burn(uint256),"transferSoldToken(address,address,uint256)"
"decreaseApproval(address,uint256)","transferSoldToken(address,address,uint256)"
"burnFrom(address,uint256)","transferSoldToken(address,address,uint256)"
"transferBonusToken(address,uint256)","transferSoldToken(address,address,uint256)"
"transfer(address,uint256)","transferSoldToken(address,address,uint256)"
registIcoAddress(address),"transferSoldToken(address,address,uint256)"
"registHolderStep(address,uint8,address)","transferSoldToken(address,address,uint256)"
unregisttIcoAddress(address),"transferSoldToken(address,address,uint256)"
"increaseApproval(address,uint256)","transferSoldToken(address,address,uint256)"
"burnFrom(address,uint256)",burn(uint256)
changeTransferStep(uint8),burn(uint256)
lockToken(),burn(uint256)
changeTransferStepLock(bool),burn(uint256)
releaseToken(),burn(uint256)
transferOwnership(address),burn(uint256)
"transferAdvisorToken(address,uint256)",burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"transferSoldToken(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transferBonusToken(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
registIcoAddress(address),burn(uint256)
"registHolderStep(address,uint8,address)",burn(uint256)
unregisttIcoAddress(address),burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
burn(uint256),"burnFrom(address,uint256)"
changeTransferStep(uint8),"burnFrom(address,uint256)"
lockToken(),"burnFrom(address,uint256)"
changeTransferStepLock(bool),"burnFrom(address,uint256)"
releaseToken(),"burnFrom(address,uint256)"
transferOwnership(address),"burnFrom(address,uint256)"
"transferAdvisorToken(address,uint256)","burnFrom(address,uint256)"
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
"transferSoldToken(address,address,uint256)","burnFrom(address,uint256)"
"decreaseApproval(address,uint256)","burnFrom(address,uint256)"
"transferBonusToken(address,uint256)","burnFrom(address,uint256)"
"transfer(address,uint256)","burnFrom(address,uint256)"
registIcoAddress(address),"burnFrom(address,uint256)"
"registHolderStep(address,uint8,address)","burnFrom(address,uint256)"
unregisttIcoAddress(address),"burnFrom(address,uint256)"
"increaseApproval(address,uint256)","burnFrom(address,uint256)"
burn(uint256),"transferBonusToken(address,uint256)"
"burnFrom(address,uint256)","transferBonusToken(address,uint256)"
changeTransferStep(uint8),"transferBonusToken(address,uint256)"
lockToken(),"transferBonusToken(address,uint256)"
changeTransferStepLock(bool),"transferBonusToken(address,uint256)"
releaseToken(),"transferBonusToken(address,uint256)"
transferOwnership(address),"transferBonusToken(address,uint256)"
"transferAdvisorToken(address,uint256)","transferBonusToken(address,uint256)"
"approve(address,uint256)","transferBonusToken(address,uint256)"
"transferFrom(address,address,uint256)","transferBonusToken(address,uint256)"
"transferSoldToken(address,address,uint256)","transferBonusToken(address,uint256)"
"decreaseApproval(address,uint256)","transferBonusToken(address,uint256)"
"transfer(address,uint256)","transferBonusToken(address,uint256)"
registIcoAddress(address),"transferBonusToken(address,uint256)"
"registHolderStep(address,uint8,address)","transferBonusToken(address,uint256)"
unregisttIcoAddress(address),"transferBonusToken(address,uint256)"
"increaseApproval(address,uint256)","transferBonusToken(address,uint256)"
"transferAdvisorToken(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"transferSoldToken(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"burnFrom(address,uint256)","transfer(address,uint256)"
"transferBonusToken(address,uint256)","transfer(address,uint256)"
registIcoAddress(address),"transfer(address,uint256)"
