Source Function,Target Function
setTransferAgent(address),release(address)
"setAffiliate(address,bool)",release(address)
"hold(address,uint256)",release(address)
"partialRelease(address,address,uint256)",release(address)
"transfer(address,address,uint256)",release(address)
"postIcoHold(address,uint256,uint256)",release(address)
"addTime(address,uint256)",release(address)
setTransferAgent(address),"setAffiliate(address,bool)"
release(address),"setAffiliate(address,bool)"
"hold(address,uint256)","setAffiliate(address,bool)"
"partialRelease(address,address,uint256)","setAffiliate(address,bool)"
"transfer(address,address,uint256)","setAffiliate(address,bool)"
"postIcoHold(address,uint256,uint256)","setAffiliate(address,bool)"
"addTime(address,uint256)","setAffiliate(address,bool)"
setTransferAgent(address),"partialRelease(address,address,uint256)"
release(address),"partialRelease(address,address,uint256)"
"setAffiliate(address,bool)","partialRelease(address,address,uint256)"
"hold(address,uint256)","partialRelease(address,address,uint256)"
"transfer(address,address,uint256)","partialRelease(address,address,uint256)"
"postIcoHold(address,uint256,uint256)","partialRelease(address,address,uint256)"
"addTime(address,uint256)","partialRelease(address,address,uint256)"
setTransferAgent(address),"transfer(address,address,uint256)"
release(address),"transfer(address,address,uint256)"
"setAffiliate(address,bool)","transfer(address,address,uint256)"
"hold(address,uint256)","transfer(address,address,uint256)"
"partialRelease(address,address,uint256)","transfer(address,address,uint256)"
"postIcoHold(address,uint256,uint256)","transfer(address,address,uint256)"
"addTime(address,uint256)","transfer(address,address,uint256)"
setTransferAgent(address),"postIcoHold(address,uint256,uint256)"
setTransferAgent(address),"addTime(address,uint256)"
