Source Function,Target Function
atkBoss(uint256),withdrawPayments()
setContractsMiniGame(address),withdrawPayments()
removeContractMiniGame(address),withdrawPayments()
withdrawReward(address),withdrawPayments()
startGame(),withdrawPayments()
withdrawPayments(),atkBoss(uint256)
setContractsMiniGame(address),atkBoss(uint256)
removeContractMiniGame(address),atkBoss(uint256)
withdrawReward(address),atkBoss(uint256)
startGame(),atkBoss(uint256)
setHalfTimeAtkBoss(uint256),atkBoss(uint256)
setDefenceBoss(uint256),atkBoss(uint256)
setBossRoundNumber(uint256),atkBoss(uint256)
setMiningWarInterface(address),atkBoss(uint256)
setBossHPDefault(uint256),atkBoss(uint256)
setEngineerInterface(address),atkBoss(uint256)
