Source Function,Target Function
"setAdmin(address,bool)",getToken(address)
"setVerified(address,bool)",getToken(address)
"addToken(address,uint256,string,string,string,string)",getToken(address)
"changeOwner(address,address)",getToken(address)
"modifyToken(address,uint256,string,string,string,string,bool)",getToken(address)
"setAdmin(address,bool)","setVerified(address,bool)"
"addToken(address,uint256,string,string,string,string)","setVerified(address,bool)"
"changeOwner(address,address)","setVerified(address,bool)"
"modifyToken(address,uint256,string,string,string,string,bool)","setVerified(address,bool)"
"setAdmin(address,bool)","addToken(address,uint256,string,string,string,string)"
"setVerified(address,bool)","addToken(address,uint256,string,string,string,string)"
"changeOwner(address,address)","addToken(address,uint256,string,string,string,string)"
"modifyToken(address,uint256,string,string,string,string,bool)","addToken(address,uint256,string,string,string,string)"
"setAdmin(address,bool)","changeOwner(address,address)"
"setVerified(address,bool)","changeOwner(address,address)"
"addToken(address,uint256,string,string,string,string)","changeOwner(address,address)"
"modifyToken(address,uint256,string,string,string,string,bool)","changeOwner(address,address)"
"setAdmin(address,bool)","modifyToken(address,uint256,string,string,string,string,bool)"
"setVerified(address,bool)","modifyToken(address,uint256,string,string,string,string,bool)"
"addToken(address,uint256,string,string,string,string)","modifyToken(address,uint256,string,string,string,string,bool)"
"changeOwner(address,address)","modifyToken(address,uint256,string,string,string,string,bool)"
