Source Function,Target Function
burn(uint256),createLockingTokenVaults()
closeSale(),createLockingTokenVaults()
"approve(address,uint256)","transferFrom(address,address,uint256)"
createLockingTokenVaults(),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"lockTokens(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
closeSale(),"transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
createLockingTokenVaults(),burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"lockTokens(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
closeSale(),burn(uint256)
"approve(address,uint256)","transfer(address,uint256)"
createLockingTokenVaults(),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"lockTokens(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
closeSale(),"transfer(address,uint256)"
"approve(address,uint256)","lockTokens(address,uint256)"
createLockingTokenVaults(),"lockTokens(address,uint256)"
"transferFrom(address,address,uint256)","lockTokens(address,uint256)"
burn(uint256),"lockTokens(address,uint256)"
"decreaseApproval(address,uint256)","lockTokens(address,uint256)"
"transfer(address,uint256)","lockTokens(address,uint256)"
"increaseApproval(address,uint256)","lockTokens(address,uint256)"
closeSale(),"lockTokens(address,uint256)"
createLockingTokenVaults(),closeSale()
burn(uint256),closeSale()
