Source Function,Target Function
"mint(address,uint256)",changeController(address)
burn(uint256),changeController(address)
"burnFrom(address,uint256)",changeController(address)
changeController(address),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
"burnFrom(address,uint256)","mint(address,uint256)"
changeController(address),"freezeAccount(address,bool)"
"mint(address,uint256)","freezeAccount(address,bool)"
burn(uint256),"freezeAccount(address,bool)"
"burnFrom(address,uint256)","freezeAccount(address,bool)"
