Source Function,Target Function
terminate(),unpause()
updateEndSaleTime(uint256),unpause()
setRate(uint256),unpause()
endSale(),unpause()
updateMainSaleTime(uint256),unpause()
startPreSale(),unpause()
startMainSale(),unpause()
acceptOwnership(),unpause()
updatePreSaleTime(uint256),unpause()
pause(),unpause()
transferOwnership(address),unpause()
"offChainTrans(address,uint256,uint256,bool)","moveReleaseTime(address,uint256)"
verifyKYC(address[]),"moveReleaseTime(address,uint256)"
addVerifier(address),"moveReleaseTime(address,uint256)"
removeVerifier(address),"moveReleaseTime(address,uint256)"
"offChainTrans(address,uint256,uint256,bool)",verifyKYC(address[])
addVerifier(address),verifyKYC(address[])
removeVerifier(address),verifyKYC(address[])
terminate(),acceptOwnership()
updateEndSaleTime(uint256),acceptOwnership()
setRate(uint256),acceptOwnership()
endSale(),acceptOwnership()
unpause(),acceptOwnership()
updateMainSaleTime(uint256),acceptOwnership()
startPreSale(),acceptOwnership()
startMainSale(),acceptOwnership()
updatePreSaleTime(uint256),acceptOwnership()
pause(),acceptOwnership()
transferOwnership(address),acceptOwnership()
terminate(),pause()
updateEndSaleTime(uint256),pause()
setRate(uint256),pause()
endSale(),pause()
unpause(),pause()
updateMainSaleTime(uint256),pause()
startPreSale(),pause()
startMainSale(),pause()
acceptOwnership(),pause()
updatePreSaleTime(uint256),pause()
transferOwnership(address),pause()
"offChainTrans(address,uint256,uint256,bool)",releaseLock(address)
verifyKYC(address[]),releaseLock(address)
addVerifier(address),releaseLock(address)
removeVerifier(address),releaseLock(address)
