Source Function,Target Function
"lock(address,bool,uint256[],uint256[])",activate()
release(),activate()
transferOwnership(address),activate()
"lock(address,bool,uint256[],uint256[])",getReleaseRatios(address)
release(),getReleaseRatios(address)
release(),"lock(address,bool,uint256[],uint256[])"
"lock(address,bool,uint256[],uint256[])",release()
activate(),release()
transferOwnership(address),release()
"lock(address,bool,uint256[],uint256[])",getReleaseTimes(address)
release(),getReleaseTimes(address)
"lock(address,bool,uint256[],uint256[])",getReleaseType(address)
release(),getReleaseType(address)
