Source Function,Target Function
deprecate(address),setEthPrice(uint256)
unpause(),setEthPrice(uint256)
pause(),setEthPrice(uint256)
"setParams(uint256,uint256)",setEthPrice(uint256)
issue(uint256),setEthPrice(uint256)
redeem(uint256),setEthPrice(uint256)
transferOwnership(address),setEthPrice(uint256)
destroyBlackFunds(address),setEthPrice(uint256)
setEthPrice(uint256),deprecate(address)
unpause(),deprecate(address)
pause(),deprecate(address)
"setParams(uint256,uint256)",deprecate(address)
issue(uint256),deprecate(address)
redeem(uint256),deprecate(address)
transferOwnership(address),deprecate(address)
destroyBlackFunds(address),deprecate(address)
setEthPrice(uint256),addBlackList(address)
deprecate(address),addBlackList(address)
unpause(),addBlackList(address)
pause(),addBlackList(address)
"setParams(uint256,uint256)",addBlackList(address)
issue(uint256),addBlackList(address)
redeem(uint256),addBlackList(address)
transferOwnership(address),addBlackList(address)
destroyBlackFunds(address),addBlackList(address)
setEthPrice(uint256),"transferFrom(address,address,uint256)"
deprecate(address),"transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
"setParams(uint256,uint256)","transferFrom(address,address,uint256)"
issue(uint256),"transferFrom(address,address,uint256)"
redeem(uint256),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
destroyBlackFunds(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
addBlackList(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"serverTransfer(address,address,uint256)","transferFrom(address,address,uint256)"
removeBlackList(address),"transferFrom(address,address,uint256)"
setEthPrice(uint256),unpause()
deprecate(address),unpause()
pause(),unpause()
"setParams(uint256,uint256)",unpause()
issue(uint256),unpause()
redeem(uint256),unpause()
transferOwnership(address),unpause()
destroyBlackFunds(address),unpause()
setEthPrice(uint256),pause()
deprecate(address),pause()
unpause(),pause()
"setParams(uint256,uint256)",pause()
issue(uint256),pause()
redeem(uint256),pause()
transferOwnership(address),pause()
destroyBlackFunds(address),pause()
setEthPrice(uint256),"transfer(address,uint256)"
deprecate(address),"transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
"setParams(uint256,uint256)","transfer(address,uint256)"
issue(uint256),"transfer(address,uint256)"
redeem(uint256),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
destroyBlackFunds(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
addBlackList(address),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"serverTransfer(address,address,uint256)","transfer(address,uint256)"
removeBlackList(address),"transfer(address,uint256)"
setEthPrice(uint256),"serverTransfer(address,address,uint256)"
deprecate(address),"serverTransfer(address,address,uint256)"
unpause(),"serverTransfer(address,address,uint256)"
pause(),"serverTransfer(address,address,uint256)"
"setParams(uint256,uint256)","serverTransfer(address,address,uint256)"
issue(uint256),"serverTransfer(address,address,uint256)"
redeem(uint256),"serverTransfer(address,address,uint256)"
transferOwnership(address),"serverTransfer(address,address,uint256)"
destroyBlackFunds(address),"serverTransfer(address,address,uint256)"
"approve(address,uint256)","serverTransfer(address,address,uint256)"
addBlackList(address),"serverTransfer(address,address,uint256)"
"transferFrom(address,address,uint256)","serverTransfer(address,address,uint256)"
"transfer(address,uint256)","serverTransfer(address,address,uint256)"
removeBlackList(address),"serverTransfer(address,address,uint256)"
setEthPrice(uint256),"setParams(uint256,uint256)"
deprecate(address),"setParams(uint256,uint256)"
unpause(),"setParams(uint256,uint256)"
pause(),"setParams(uint256,uint256)"
issue(uint256),"setParams(uint256,uint256)"
redeem(uint256),"setParams(uint256,uint256)"
transferOwnership(address),"setParams(uint256,uint256)"
destroyBlackFunds(address),"setParams(uint256,uint256)"
setEthPrice(uint256),issue(uint256)
deprecate(address),issue(uint256)
unpause(),issue(uint256)
pause(),issue(uint256)
"setParams(uint256,uint256)",issue(uint256)
redeem(uint256),issue(uint256)
transferOwnership(address),issue(uint256)
destroyBlackFunds(address),issue(uint256)
"approve(address,uint256)",issue(uint256)
addBlackList(address),issue(uint256)
"transferFrom(address,address,uint256)",issue(uint256)
"transfer(address,uint256)",issue(uint256)
"serverTransfer(address,address,uint256)",issue(uint256)
removeBlackList(address),issue(uint256)
setEthPrice(uint256),redeem(uint256)
deprecate(address),redeem(uint256)
unpause(),redeem(uint256)
pause(),redeem(uint256)
"setParams(uint256,uint256)",redeem(uint256)
issue(uint256),redeem(uint256)
