Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
consume(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
mintToken(uint256),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",consume(uint256)
"transferFrom(address,address,uint256)",consume(uint256)
"decreaseApproval(address,uint256)",consume(uint256)
"transfer(address,uint256)",consume(uint256)
mintToken(uint256),consume(uint256)
"increaseApproval(address,uint256)",consume(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
consume(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
mintToken(uint256),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)",mintToken(uint256)
"transferFrom(address,address,uint256)",mintToken(uint256)
consume(uint256),mintToken(uint256)
"decreaseApproval(address,uint256)",mintToken(uint256)
"transfer(address,uint256)",mintToken(uint256)
"increaseApproval(address,uint256)",mintToken(uint256)
