Source Function,Target Function
migrate(uint256),setSystemAddress(address)
withdrawFromMiningBalance(uint256),setSystemAddress(address)
renounceOwnership(),setSystemAddress(address)
mine(),setSystemAddress(address)
depositToMiningBalance(uint256),setSystemAddress(address)
transferOwnership(address),setSystemAddress(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
setReferralCode(bytes32),"transferFrom(address,address,uint256)"
joinClan(address),"transferFrom(address,address,uint256)"
setReferral(bytes32),"transferFrom(address,address,uint256)"
migrate(uint256),"transferFrom(address,address,uint256)"
withdrawFromMiningBalance(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
mine(),"transferFrom(address,address,uint256)"
leaveClan(),"transferFrom(address,address,uint256)"
createClan(uint256),"transferFrom(address,address,uint256)"
depositToMiningBalance(uint256),"transferFrom(address,address,uint256)"
"updateInviteesCount(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",setReferralCode(bytes32)
"transferFrom(address,address,uint256)",setReferralCode(bytes32)
joinClan(address),setReferralCode(bytes32)
setReferral(bytes32),setReferralCode(bytes32)
migrate(uint256),setReferralCode(bytes32)
withdrawFromMiningBalance(uint256),setReferralCode(bytes32)
"decreaseApproval(address,uint256)",setReferralCode(bytes32)
mine(),setReferralCode(bytes32)
leaveClan(),setReferralCode(bytes32)
createClan(uint256),setReferralCode(bytes32)
depositToMiningBalance(uint256),setReferralCode(bytes32)
"updateInviteesCount(address,uint256)",setReferralCode(bytes32)
"increaseApproval(address,uint256)",setReferralCode(bytes32)
"approve(address,uint256)",joinClan(address)
"transferFrom(address,address,uint256)",joinClan(address)
setReferralCode(bytes32),joinClan(address)
setReferral(bytes32),joinClan(address)
migrate(uint256),joinClan(address)
withdrawFromMiningBalance(uint256),joinClan(address)
"decreaseApproval(address,uint256)",joinClan(address)
mine(),joinClan(address)
leaveClan(),joinClan(address)
createClan(uint256),joinClan(address)
depositToMiningBalance(uint256),joinClan(address)
"updateInviteesCount(address,uint256)",joinClan(address)
"increaseApproval(address,uint256)",joinClan(address)
"approve(address,uint256)",setReferral(bytes32)
"transferFrom(address,address,uint256)",setReferral(bytes32)
setReferralCode(bytes32),setReferral(bytes32)
joinClan(address),setReferral(bytes32)
migrate(uint256),setReferral(bytes32)
withdrawFromMiningBalance(uint256),setReferral(bytes32)
"decreaseApproval(address,uint256)",setReferral(bytes32)
mine(),setReferral(bytes32)
leaveClan(),setReferral(bytes32)
createClan(uint256),setReferral(bytes32)
depositToMiningBalance(uint256),setReferral(bytes32)
"updateInviteesCount(address,uint256)",setReferral(bytes32)
"increaseApproval(address,uint256)",setReferral(bytes32)
"approve(address,uint256)",withdrawFromMiningBalance(uint256)
"transferFrom(address,address,uint256)",withdrawFromMiningBalance(uint256)
setReferralCode(bytes32),withdrawFromMiningBalance(uint256)
joinClan(address),withdrawFromMiningBalance(uint256)
setReferral(bytes32),withdrawFromMiningBalance(uint256)
migrate(uint256),withdrawFromMiningBalance(uint256)
"decreaseApproval(address,uint256)",withdrawFromMiningBalance(uint256)
mine(),withdrawFromMiningBalance(uint256)
leaveClan(),withdrawFromMiningBalance(uint256)
createClan(uint256),withdrawFromMiningBalance(uint256)
depositToMiningBalance(uint256),withdrawFromMiningBalance(uint256)
"updateInviteesCount(address,uint256)",withdrawFromMiningBalance(uint256)
"increaseApproval(address,uint256)",withdrawFromMiningBalance(uint256)
setSystemAddress(address),renounceOwnership()
migrate(uint256),renounceOwnership()
withdrawFromMiningBalance(uint256),renounceOwnership()
mine(),renounceOwnership()
depositToMiningBalance(uint256),renounceOwnership()
transferOwnership(address),renounceOwnership()
"approve(address,uint256)",mine()
"transferFrom(address,address,uint256)",mine()
setReferralCode(bytes32),mine()
joinClan(address),mine()
setReferral(bytes32),mine()
migrate(uint256),mine()
withdrawFromMiningBalance(uint256),mine()
"decreaseApproval(address,uint256)",mine()
leaveClan(),mine()
createClan(uint256),mine()
depositToMiningBalance(uint256),mine()
"updateInviteesCount(address,uint256)",mine()
"increaseApproval(address,uint256)",mine()
"approve(address,uint256)",leaveClan()
"transferFrom(address,address,uint256)",leaveClan()
setReferralCode(bytes32),leaveClan()
joinClan(address),leaveClan()
setReferral(bytes32),leaveClan()
migrate(uint256),leaveClan()
withdrawFromMiningBalance(uint256),leaveClan()
"decreaseApproval(address,uint256)",leaveClan()
mine(),leaveClan()
createClan(uint256),leaveClan()
depositToMiningBalance(uint256),leaveClan()
"updateInviteesCount(address,uint256)",leaveClan()
"increaseApproval(address,uint256)",leaveClan()
"approve(address,uint256)",createClan(uint256)
"transferFrom(address,address,uint256)",createClan(uint256)
setReferralCode(bytes32),createClan(uint256)
joinClan(address),createClan(uint256)
setReferral(bytes32),createClan(uint256)
migrate(uint256),createClan(uint256)
withdrawFromMiningBalance(uint256),createClan(uint256)
"decreaseApproval(address,uint256)",createClan(uint256)
mine(),createClan(uint256)
leaveClan(),createClan(uint256)
depositToMiningBalance(uint256),createClan(uint256)
"updateInviteesCount(address,uint256)",createClan(uint256)
"increaseApproval(address,uint256)",createClan(uint256)
"approve(address,uint256)",depositToMiningBalance(uint256)
"transferFrom(address,address,uint256)",depositToMiningBalance(uint256)
setReferralCode(bytes32),depositToMiningBalance(uint256)
joinClan(address),depositToMiningBalance(uint256)
setReferral(bytes32),depositToMiningBalance(uint256)
migrate(uint256),depositToMiningBalance(uint256)
withdrawFromMiningBalance(uint256),depositToMiningBalance(uint256)
"decreaseApproval(address,uint256)",depositToMiningBalance(uint256)
mine(),depositToMiningBalance(uint256)
leaveClan(),depositToMiningBalance(uint256)
createClan(uint256),depositToMiningBalance(uint256)
"updateInviteesCount(address,uint256)",depositToMiningBalance(uint256)
"increaseApproval(address,uint256)",depositToMiningBalance(uint256)
setSystemAddress(address),"updateInviteesCount(address,uint256)"
migrate(uint256),"updateInviteesCount(address,uint256)"
withdrawFromMiningBalance(uint256),"updateInviteesCount(address,uint256)"
renounceOwnership(),"updateInviteesCount(address,uint256)"
mine(),"updateInviteesCount(address,uint256)"
depositToMiningBalance(uint256),"updateInviteesCount(address,uint256)"
transferOwnership(address),"updateInviteesCount(address,uint256)"
setSystemAddress(address),transferOwnership(address)
migrate(uint256),transferOwnership(address)
withdrawFromMiningBalance(uint256),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
mine(),transferOwnership(address)
depositToMiningBalance(uint256),transferOwnership(address)
