Source Function,Target Function
"giveTicket(address,uint16[],uint256)","setTicketInfo(uint256,uint8,uint8,uint8,uint8)"
"buyTicket(uint16[],uint256)","setTicketInfo(uint256,uint8,uint8,uint8,uint8)"
"Prizes(uint256,uint256,uint256,uint256)","setTicketInfo(uint256,uint8,uint8,uint8,uint8)"
"DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)","setTicketInfo(uint256,uint8,uint8,uint8,uint8)"
transferOwnership(address),"setTicketInfo(uint256,uint8,uint8,uint8,uint8)"
"setTicketInfo(uint256,uint8,uint8,uint8,uint8)","giveTicket(address,uint16[],uint256)"
"buyTicket(uint16[],uint256)","giveTicket(address,uint16[],uint256)"
"Prizes(uint256,uint256,uint256,uint256)","giveTicket(address,uint16[],uint256)"
"DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)","giveTicket(address,uint16[],uint256)"
transferOwnership(address),"giveTicket(address,uint16[],uint256)"
"setTicketInfo(uint256,uint8,uint8,uint8,uint8)",checkRevenue(uint256)
"giveTicket(address,uint16[],uint256)",checkRevenue(uint256)
"buyTicket(uint16[],uint256)",checkRevenue(uint256)
"Prizes(uint256,uint256,uint256,uint256)",checkRevenue(uint256)
"DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)",checkRevenue(uint256)
transferOwnership(address),checkRevenue(uint256)
"setTicketInfo(uint256,uint8,uint8,uint8,uint8)","Prizes(uint256,uint256,uint256,uint256)"
"giveTicket(address,uint16[],uint256)","Prizes(uint256,uint256,uint256,uint256)"
"buyTicket(uint16[],uint256)","Prizes(uint256,uint256,uint256,uint256)"
"DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)","Prizes(uint256,uint256,uint256,uint256)"
transferOwnership(address),"Prizes(uint256,uint256,uint256,uint256)"
"setTicketInfo(uint256,uint8,uint8,uint8,uint8)","DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)"
"giveTicket(address,uint16[],uint256)","DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)"
"buyTicket(uint16[],uint256)","DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)"
"Prizes(uint256,uint256,uint256,uint256)","DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)"
transferOwnership(address),"DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)"
checkRevenue(uint256),"DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)"
"setTicketInfo(uint256,uint8,uint8,uint8,uint8)",transferOwnership(address)
"giveTicket(address,uint16[],uint256)",transferOwnership(address)
"buyTicket(uint16[],uint256)",transferOwnership(address)
"Prizes(uint256,uint256,uint256,uint256)",transferOwnership(address)
"DrawResult(uint16[],uint256,uint8,uint8,uint8,uint8)",transferOwnership(address)
