Source Function,Target Function
"mint(address,uint256)",finishMinting(uint256)
payDividends(uint256),finishMinting(uint256)
payDividendsManually(),finishMinting(uint256)
finishMinting(),finishMinting(uint256)
resetDividendsCalculation(),finishMinting(uint256)
"calculateDividends(uint256,uint256)",finishMinting(uint256)
transferOwnership(address),finishMinting(uint256)
"approve(address,uint256)","transferFrom(address,address,uint256)"
lockAddress(address),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
payDividends(uint256),"transferFrom(address,address,uint256)"
payDividendsManually(),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
unlockAddress(address),"transferFrom(address,address,uint256)"
"calculateDividends(uint256,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
finishMinting(uint256),lockAddress(address)
"mint(address,uint256)",lockAddress(address)
payDividends(uint256),lockAddress(address)
payDividendsManually(),lockAddress(address)
finishMinting(),lockAddress(address)
resetDividendsCalculation(),lockAddress(address)
"calculateDividends(uint256,uint256)",lockAddress(address)
transferOwnership(address),lockAddress(address)
finishMinting(uint256),withdraw()
"mint(address,uint256)",withdraw()
payDividends(uint256),withdraw()
payDividendsManually(),withdraw()
finishMinting(),withdraw()
resetDividendsCalculation(),withdraw()
"calculateDividends(uint256,uint256)",withdraw()
transferOwnership(address),withdraw()
finishMinting(uint256),"mint(address,uint256)"
payDividends(uint256),"mint(address,uint256)"
payDividendsManually(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
resetDividendsCalculation(),"mint(address,uint256)"
"calculateDividends(uint256,uint256)","mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
finishMinting(uint256),payDividends(uint256)
"mint(address,uint256)",payDividends(uint256)
payDividendsManually(),payDividends(uint256)
finishMinting(),payDividends(uint256)
resetDividendsCalculation(),payDividends(uint256)
"calculateDividends(uint256,uint256)",payDividends(uint256)
transferOwnership(address),payDividends(uint256)
"approve(address,uint256)",payDividendsManually()
"transferFrom(address,address,uint256)",payDividendsManually()
lockAddress(address),payDividendsManually()
"mint(address,uint256)",payDividendsManually()
"decreaseApproval(address,uint256)",payDividendsManually()
payDividends(uint256),payDividendsManually()
"transfer(address,uint256)",payDividendsManually()
unlockAddress(address),payDividendsManually()
"calculateDividends(uint256,uint256)",payDividendsManually()
"increaseApproval(address,uint256)",payDividendsManually()
finishMinting(uint256),finishMinting()
"mint(address,uint256)",finishMinting()
payDividends(uint256),finishMinting()
payDividendsManually(),finishMinting()
resetDividendsCalculation(),finishMinting()
"calculateDividends(uint256,uint256)",finishMinting()
transferOwnership(address),finishMinting()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
lockAddress(address),"transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
payDividends(uint256),"transfer(address,uint256)"
payDividendsManually(),"transfer(address,uint256)"
unlockAddress(address),"transfer(address,uint256)"
"calculateDividends(uint256,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
finishMinting(uint256),retrieveTokens(address)
"mint(address,uint256)",retrieveTokens(address)
payDividends(uint256),retrieveTokens(address)
payDividendsManually(),retrieveTokens(address)
finishMinting(),retrieveTokens(address)
resetDividendsCalculation(),retrieveTokens(address)
"calculateDividends(uint256,uint256)",retrieveTokens(address)
transferOwnership(address),retrieveTokens(address)
finishMinting(uint256),unlockAddress(address)
"mint(address,uint256)",unlockAddress(address)
payDividends(uint256),unlockAddress(address)
payDividendsManually(),unlockAddress(address)
finishMinting(),unlockAddress(address)
resetDividendsCalculation(),unlockAddress(address)
"calculateDividends(uint256,uint256)",unlockAddress(address)
transferOwnership(address),unlockAddress(address)
finishMinting(uint256),resetDividendsCalculation()
"mint(address,uint256)",resetDividendsCalculation()
payDividends(uint256),resetDividendsCalculation()
payDividendsManually(),resetDividendsCalculation()
finishMinting(),resetDividendsCalculation()
"calculateDividends(uint256,uint256)",resetDividendsCalculation()
transferOwnership(address),resetDividendsCalculation()
finishMinting(uint256),"calculateDividends(uint256,uint256)"
"mint(address,uint256)","calculateDividends(uint256,uint256)"
payDividends(uint256),"calculateDividends(uint256,uint256)"
payDividendsManually(),"calculateDividends(uint256,uint256)"
finishMinting(),"calculateDividends(uint256,uint256)"
resetDividendsCalculation(),"calculateDividends(uint256,uint256)"
transferOwnership(address),"calculateDividends(uint256,uint256)"
finishMinting(uint256),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
payDividends(uint256),transferOwnership(address)
payDividendsManually(),transferOwnership(address)
finishMinting(),transferOwnership(address)
resetDividendsCalculation(),transferOwnership(address)
"calculateDividends(uint256,uint256)",transferOwnership(address)
