Source Function,Target Function
pauseBet(uint256),"withdraw(uint256,address)"
removeAdmin(address),"withdraw(uint256,address)"
addFund(uint256),"withdraw(uint256,address)"
"makeBet(uint256,uint256,address,uint256,uint256)","withdraw(uint256,address)"
updateVerifier(uint256),"withdraw(uint256,address)"
"settleBet(uint256,address,uint256)","withdraw(uint256,address)"
addAdmin(address),"withdraw(uint256,address)"
"takeBet(uint256,address,uint256,uint256)","withdraw(uint256,address)"
closeBet(uint256),"withdraw(uint256,address)"
"updateOdds(uint256,uint256)","withdraw(uint256,address)"
reopenBet(uint256),"withdraw(uint256,address)"
"withdraw(uint256,address)",pauseBet(uint256)
removeAdmin(address),pauseBet(uint256)
addFund(uint256),pauseBet(uint256)
"makeBet(uint256,uint256,address,uint256,uint256)",pauseBet(uint256)
updateVerifier(uint256),pauseBet(uint256)
"settleBet(uint256,address,uint256)",pauseBet(uint256)
addAdmin(address),pauseBet(uint256)
"takeBet(uint256,address,uint256,uint256)",pauseBet(uint256)
closeBet(uint256),pauseBet(uint256)
"updateOdds(uint256,uint256)",pauseBet(uint256)
reopenBet(uint256),pauseBet(uint256)
"withdraw(uint256,address)",addFund(uint256)
pauseBet(uint256),addFund(uint256)
removeAdmin(address),addFund(uint256)
"makeBet(uint256,uint256,address,uint256,uint256)",addFund(uint256)
updateVerifier(uint256),addFund(uint256)
"settleBet(uint256,address,uint256)",addFund(uint256)
addAdmin(address),addFund(uint256)
"takeBet(uint256,address,uint256,uint256)",addFund(uint256)
closeBet(uint256),addFund(uint256)
"updateOdds(uint256,uint256)",addFund(uint256)
reopenBet(uint256),addFund(uint256)
"withdraw(uint256,address)","makeBet(uint256,uint256,address,uint256,uint256)"
pauseBet(uint256),"makeBet(uint256,uint256,address,uint256,uint256)"
removeAdmin(address),"makeBet(uint256,uint256,address,uint256,uint256)"
addFund(uint256),"makeBet(uint256,uint256,address,uint256,uint256)"
updateVerifier(uint256),"makeBet(uint256,uint256,address,uint256,uint256)"
"settleBet(uint256,address,uint256)","makeBet(uint256,uint256,address,uint256,uint256)"
addAdmin(address),"makeBet(uint256,uint256,address,uint256,uint256)"
"takeBet(uint256,address,uint256,uint256)","makeBet(uint256,uint256,address,uint256,uint256)"
closeBet(uint256),"makeBet(uint256,uint256,address,uint256,uint256)"
"updateOdds(uint256,uint256)","makeBet(uint256,uint256,address,uint256,uint256)"
reopenBet(uint256),"makeBet(uint256,uint256,address,uint256,uint256)"
"withdraw(uint256,address)","settleBet(uint256,address,uint256)"
pauseBet(uint256),"settleBet(uint256,address,uint256)"
removeAdmin(address),"settleBet(uint256,address,uint256)"
addFund(uint256),"settleBet(uint256,address,uint256)"
"makeBet(uint256,uint256,address,uint256,uint256)","settleBet(uint256,address,uint256)"
updateVerifier(uint256),"settleBet(uint256,address,uint256)"
addAdmin(address),"settleBet(uint256,address,uint256)"
"takeBet(uint256,address,uint256,uint256)","settleBet(uint256,address,uint256)"
closeBet(uint256),"settleBet(uint256,address,uint256)"
"updateOdds(uint256,uint256)","settleBet(uint256,address,uint256)"
reopenBet(uint256),"settleBet(uint256,address,uint256)"
"withdraw(uint256,address)","changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
pauseBet(uint256),"changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
removeAdmin(address),"changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
addFund(uint256),"changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
"makeBet(uint256,uint256,address,uint256,uint256)","changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
updateVerifier(uint256),"changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
"settleBet(uint256,address,uint256)","changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
addAdmin(address),"changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
"takeBet(uint256,address,uint256,uint256)","changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
closeBet(uint256),"changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
"updateOdds(uint256,uint256)","changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
reopenBet(uint256),"changeAllowedTakerBetsPerMakerBet(uint256,uint256)"
"withdraw(uint256,address)","takeBet(uint256,address,uint256,uint256)"
pauseBet(uint256),"takeBet(uint256,address,uint256,uint256)"
removeAdmin(address),"takeBet(uint256,address,uint256,uint256)"
addFund(uint256),"takeBet(uint256,address,uint256,uint256)"
"makeBet(uint256,uint256,address,uint256,uint256)","takeBet(uint256,address,uint256,uint256)"
updateVerifier(uint256),"takeBet(uint256,address,uint256,uint256)"
"settleBet(uint256,address,uint256)","takeBet(uint256,address,uint256,uint256)"
