Source Function,Target Function
createTokensToOwner(uint256),withdrawEthToOwner(uint256)
setIsTokenCanBeSell(bool),withdrawEthToOwner(uint256)
setTokensPerOneETH(uint256),withdrawEthToOwner(uint256)
burn(uint256),withdrawEthToOwner(uint256)
setIsTokenCanBeBuy(bool),withdrawEthToOwner(uint256)
setBuyPrice(uint256),withdrawEthToOwner(uint256)
"createTokensTo(address,uint256)",withdrawEthToOwner(uint256)
"burnFrom(address,uint256)",withdrawEthToOwner(uint256)
buyTokens(),withdrawEthToOwner(uint256)
depositFunds(),withdrawEthToOwner(uint256)
transferOwnership(address),withdrawEthToOwner(uint256)
setSellPrice(uint256),withdrawEthToOwner(uint256)
setIsTokenCanBeSell(bool),createTokensToOwner(uint256)
setTokensPerOneETH(uint256),createTokensToOwner(uint256)
burn(uint256),createTokensToOwner(uint256)
setIsTokenCanBeBuy(bool),createTokensToOwner(uint256)
setBuyPrice(uint256),createTokensToOwner(uint256)
"createTokensTo(address,uint256)",createTokensToOwner(uint256)
"burnFrom(address,uint256)",createTokensToOwner(uint256)
buyTokens(),createTokensToOwner(uint256)
depositFunds(),createTokensToOwner(uint256)
transferOwnership(address),createTokensToOwner(uint256)
setSellPrice(uint256),createTokensToOwner(uint256)
"approve(address,uint256)","transferFrom(address,address,uint256)"
createTokensToOwner(uint256),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
sellTokens(uint256),"transferFrom(address,address,uint256)"
"createTokensTo(address,uint256)","transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
buyTokens(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
createTokensToOwner(uint256),setIsTokenCanBeSell(bool)
setTokensPerOneETH(uint256),setIsTokenCanBeSell(bool)
burn(uint256),setIsTokenCanBeSell(bool)
setIsTokenCanBeBuy(bool),setIsTokenCanBeSell(bool)
setBuyPrice(uint256),setIsTokenCanBeSell(bool)
"createTokensTo(address,uint256)",setIsTokenCanBeSell(bool)
"burnFrom(address,uint256)",setIsTokenCanBeSell(bool)
buyTokens(),setIsTokenCanBeSell(bool)
depositFunds(),setIsTokenCanBeSell(bool)
transferOwnership(address),setIsTokenCanBeSell(bool)
setSellPrice(uint256),setIsTokenCanBeSell(bool)
createTokensToOwner(uint256),setTokensPerOneETH(uint256)
setIsTokenCanBeSell(bool),setTokensPerOneETH(uint256)
burn(uint256),setTokensPerOneETH(uint256)
setIsTokenCanBeBuy(bool),setTokensPerOneETH(uint256)
setBuyPrice(uint256),setTokensPerOneETH(uint256)
"createTokensTo(address,uint256)",setTokensPerOneETH(uint256)
"burnFrom(address,uint256)",setTokensPerOneETH(uint256)
buyTokens(),setTokensPerOneETH(uint256)
depositFunds(),setTokensPerOneETH(uint256)
transferOwnership(address),setTokensPerOneETH(uint256)
setSellPrice(uint256),setTokensPerOneETH(uint256)
"approve(address,uint256)",burn(uint256)
createTokensToOwner(uint256),burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
sellTokens(uint256),burn(uint256)
"createTokensTo(address,uint256)",burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
"approveAndCall(address,uint256,bytes)",burn(uint256)
buyTokens(),burn(uint256)
transferOwnership(address),burn(uint256)
createTokensToOwner(uint256),setIsTokenCanBeBuy(bool)
setIsTokenCanBeSell(bool),setIsTokenCanBeBuy(bool)
setTokensPerOneETH(uint256),setIsTokenCanBeBuy(bool)
burn(uint256),setIsTokenCanBeBuy(bool)
setBuyPrice(uint256),setIsTokenCanBeBuy(bool)
"createTokensTo(address,uint256)",setIsTokenCanBeBuy(bool)
"burnFrom(address,uint256)",setIsTokenCanBeBuy(bool)
buyTokens(),setIsTokenCanBeBuy(bool)
depositFunds(),setIsTokenCanBeBuy(bool)
transferOwnership(address),setIsTokenCanBeBuy(bool)
setSellPrice(uint256),setIsTokenCanBeBuy(bool)
createTokensToOwner(uint256),setBuyPrice(uint256)
setIsTokenCanBeSell(bool),setBuyPrice(uint256)
setTokensPerOneETH(uint256),setBuyPrice(uint256)
burn(uint256),setBuyPrice(uint256)
setIsTokenCanBeBuy(bool),setBuyPrice(uint256)
"createTokensTo(address,uint256)",setBuyPrice(uint256)
"burnFrom(address,uint256)",setBuyPrice(uint256)
buyTokens(),setBuyPrice(uint256)
depositFunds(),setBuyPrice(uint256)
transferOwnership(address),setBuyPrice(uint256)
setSellPrice(uint256),setBuyPrice(uint256)
createTokensToOwner(uint256),sellTokens(uint256)
setIsTokenCanBeSell(bool),sellTokens(uint256)
setTokensPerOneETH(uint256),sellTokens(uint256)
burn(uint256),sellTokens(uint256)
setIsTokenCanBeBuy(bool),sellTokens(uint256)
setBuyPrice(uint256),sellTokens(uint256)
"createTokensTo(address,uint256)",sellTokens(uint256)
"burnFrom(address,uint256)",sellTokens(uint256)
buyTokens(),sellTokens(uint256)
depositFunds(),sellTokens(uint256)
transferOwnership(address),sellTokens(uint256)
setSellPrice(uint256),sellTokens(uint256)
"approve(address,uint256)",sellTokens(uint256)
"transferFrom(address,address,uint256)",sellTokens(uint256)
"approveAndCall(address,uint256,bytes)",sellTokens(uint256)
createTokensToOwner(uint256),"createTokensTo(address,uint256)"
setIsTokenCanBeSell(bool),"createTokensTo(address,uint256)"
setTokensPerOneETH(uint256),"createTokensTo(address,uint256)"
burn(uint256),"createTokensTo(address,uint256)"
setIsTokenCanBeBuy(bool),"createTokensTo(address,uint256)"
setBuyPrice(uint256),"createTokensTo(address,uint256)"
"burnFrom(address,uint256)","createTokensTo(address,uint256)"
buyTokens(),"createTokensTo(address,uint256)"
depositFunds(),"createTokensTo(address,uint256)"
transferOwnership(address),"createTokensTo(address,uint256)"
setSellPrice(uint256),"createTokensTo(address,uint256)"
"approve(address,uint256)","burnFrom(address,uint256)"
createTokensToOwner(uint256),"burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
sellTokens(uint256),"burnFrom(address,uint256)"
"createTokensTo(address,uint256)","burnFrom(address,uint256)"
"approveAndCall(address,uint256,bytes)","burnFrom(address,uint256)"
buyTokens(),"burnFrom(address,uint256)"
transferOwnership(address),"burnFrom(address,uint256)"
createTokensToOwner(uint256),withdrawAllEthToOwner()
setIsTokenCanBeSell(bool),withdrawAllEthToOwner()
setTokensPerOneETH(uint256),withdrawAllEthToOwner()
burn(uint256),withdrawAllEthToOwner()
setIsTokenCanBeBuy(bool),withdrawAllEthToOwner()
setBuyPrice(uint256),withdrawAllEthToOwner()
"createTokensTo(address,uint256)",withdrawAllEthToOwner()
"burnFrom(address,uint256)",withdrawAllEthToOwner()
buyTokens(),withdrawAllEthToOwner()
depositFunds(),withdrawAllEthToOwner()
transferOwnership(address),withdrawAllEthToOwner()
setSellPrice(uint256),withdrawAllEthToOwner()
createTokensToOwner(uint256),buyTokens()
setIsTokenCanBeSell(bool),buyTokens()
setTokensPerOneETH(uint256),buyTokens()
burn(uint256),buyTokens()
setIsTokenCanBeBuy(bool),buyTokens()
setBuyPrice(uint256),buyTokens()
"createTokensTo(address,uint256)",buyTokens()
"burnFrom(address,uint256)",buyTokens()
depositFunds(),buyTokens()
transferOwnership(address),buyTokens()
setSellPrice(uint256),buyTokens()
"approve(address,uint256)",buyTokens()
"transferFrom(address,address,uint256)",buyTokens()
sellTokens(uint256),buyTokens()
"approveAndCall(address,uint256,bytes)",buyTokens()
createTokensToOwner(uint256),transferOwnership(address)
setIsTokenCanBeSell(bool),transferOwnership(address)
setTokensPerOneETH(uint256),transferOwnership(address)
burn(uint256),transferOwnership(address)
setIsTokenCanBeBuy(bool),transferOwnership(address)
setBuyPrice(uint256),transferOwnership(address)
"createTokensTo(address,uint256)",transferOwnership(address)
"burnFrom(address,uint256)",transferOwnership(address)
buyTokens(),transferOwnership(address)
depositFunds(),transferOwnership(address)
setSellPrice(uint256),transferOwnership(address)
createTokensToOwner(uint256),setSellPrice(uint256)
setIsTokenCanBeSell(bool),setSellPrice(uint256)
setTokensPerOneETH(uint256),setSellPrice(uint256)
burn(uint256),setSellPrice(uint256)
setIsTokenCanBeBuy(bool),setSellPrice(uint256)
setBuyPrice(uint256),setSellPrice(uint256)
"createTokensTo(address,uint256)",setSellPrice(uint256)
