Source Function,Target Function
"setHash(uint256,bytes32)","reveal(uint256,uint8[5],bytes32)"
newGame(),"reveal(uint256,uint8[5],bytes32)"
joinGameFromBalance(uint256),"reveal(uint256,uint8[5],bytes32)"
joinGame(uint256),"reveal(uint256,uint8[5],bytes32)"
"reveal(uint256,uint8[5],bytes32)","setHash(uint256,bytes32)"
newGame(),"setHash(uint256,bytes32)"
joinGameFromBalance(uint256),"setHash(uint256,bytes32)"
joinGame(uint256),"setHash(uint256,bytes32)"
setOwner(address),newGame()
setStatus(bool),newGame()
setPrice(uint256),newGame()
addOperator(address),newGame()
"reveal(uint256,uint8[5],bytes32)",newGame()
"setHash(uint256,bytes32)",newGame()
joinGameFromBalance(uint256),newGame()
joinGame(uint256),newGame()
"reveal(uint256,uint8[5],bytes32)",joinGameFromBalance(uint256)
"setHash(uint256,bytes32)",joinGameFromBalance(uint256)
newGame(),joinGameFromBalance(uint256)
joinGame(uint256),joinGameFromBalance(uint256)
setOwner(address),joinGameFromBalance(uint256)
setStatus(bool),joinGameFromBalance(uint256)
setPrice(uint256),joinGameFromBalance(uint256)
addOperator(address),joinGameFromBalance(uint256)
"reveal(uint256,uint8[5],bytes32)",joinGame(uint256)
"setHash(uint256,bytes32)",joinGame(uint256)
newGame(),joinGame(uint256)
joinGameFromBalance(uint256),joinGame(uint256)
setOwner(address),joinGame(uint256)
setStatus(bool),joinGame(uint256)
setPrice(uint256),joinGame(uint256)
addOperator(address),joinGame(uint256)
