Source Function,Target Function
acceptOwnership(),seal()
transferOwnership(address),seal()
seal(),addAdmin(address)
acceptOwnership(),addAdmin(address)
transferOwnership(address),addAdmin(address)
remove(address[]),addAdmin(address)
"add(address[],uint256)",addAdmin(address)
removeAdmin(address),addAdmin(address)
seal(),transferOwnership(address)
acceptOwnership(),transferOwnership(address)
seal(),removeAdmin(address)
acceptOwnership(),removeAdmin(address)
transferOwnership(address),removeAdmin(address)
remove(address[]),removeAdmin(address)
addAdmin(address),removeAdmin(address)
"add(address[],uint256)",removeAdmin(address)
