Source Function,Target Function
"createFirstWallets(uint256,uint256)",getMoney(address)
"pay(bytes32,uint256)",getMoney(address)
"setMin(uint256,uint256)",getMoney(address)
"pay(bytes32,uint256)","createFirstWallets(uint256,uint256)"
getMoney(address),"createFirstWallets(uint256,uint256)"
"setMin(uint256,uint256)","createFirstWallets(uint256,uint256)"
getMoney(address),"pay(bytes32,uint256)"
"createFirstWallets(uint256,uint256)","pay(bytes32,uint256)"
"setMin(uint256,uint256)","pay(bytes32,uint256)"
"createFirstWallets(uint256,uint256)","setMin(uint256,uint256)"
"pay(bytes32,uint256)","setMin(uint256,uint256)"
