Source Function,Target Function
unpause(),withdraw(uint256)
pause(),withdraw(uint256)
"manualSell(address,uint256)",withdraw(uint256)
finishCrowdsale(),withdraw(uint256)
transferOwnership(address),withdraw(uint256)
pause(),unpause()
"manualSell(address,uint256)",unpause()
finishCrowdsale(),unpause()
transferOwnership(address),unpause()
unpause(),pause()
"manualSell(address,uint256)",pause()
finishCrowdsale(),pause()
transferOwnership(address),pause()
unpause(),"manualSell(address,uint256)"
pause(),"manualSell(address,uint256)"
finishCrowdsale(),"manualSell(address,uint256)"
transferOwnership(address),"manualSell(address,uint256)"
unpause(),finishCrowdsale()
pause(),finishCrowdsale()
"manualSell(address,uint256)",finishCrowdsale()
transferOwnership(address),finishCrowdsale()
unpause(),transferOwnership(address)
pause(),transferOwnership(address)
"manualSell(address,uint256)",transferOwnership(address)
finishCrowdsale(),transferOwnership(address)
