Source Function,Target Function
changeWallet(address),setPrice(uint256)
startSale(),setPrice(uint256)
stopSale(),setPrice(uint256)
setPrice(uint256),changeWallet(address)
startSale(),changeWallet(address)
stopSale(),changeWallet(address)
setPrice(uint256),startSale()
changeWallet(address),startSale()
stopSale(),startSale()
setPrice(uint256),stopSale()
changeWallet(address),stopSale()
startSale(),stopSale()
setPrice(uint256),withdrawTokens(uint256)
changeWallet(address),withdrawTokens(uint256)
startSale(),withdrawTokens(uint256)
stopSale(),withdrawTokens(uint256)
