Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"multiSendFrom(address,address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"multiSend(address[],uint256[])","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"multiSendFrom(address,address[],uint256[])",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"multiSend(address[],uint256[])",burn(uint256)
"approve(address,uint256)","multiSendFrom(address,address[],uint256[])"
"transferFrom(address,address,uint256)","multiSendFrom(address,address[],uint256[])"
burn(uint256),"multiSendFrom(address,address[],uint256[])"
"transfer(address,uint256)","multiSendFrom(address,address[],uint256[])"
"multiSend(address[],uint256[])","multiSendFrom(address,address[],uint256[])"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"multiSendFrom(address,address[],uint256[])","transfer(address,uint256)"
"multiSend(address[],uint256[])","transfer(address,uint256)"
"approve(address,uint256)","multiSend(address[],uint256[])"
"transferFrom(address,address,uint256)","multiSend(address[],uint256[])"
burn(uint256),"multiSend(address[],uint256[])"
"multiSendFrom(address,address[],uint256[])","multiSend(address[],uint256[])"
"transfer(address,uint256)","multiSend(address[],uint256[])"
burn(uint256),"transferAnyERC20Token(address,uint256)"
transferOwnership(address),"transferAnyERC20Token(address,uint256)"
burn(uint256),transferOwnership(address)
