Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"setOps(address,bool)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"setOps(address,bool)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"freezeAccount(address,bool)",burn(uint256)
