Source Function,Target Function
"transferFrom(address,address,uint256)","approve(address,uint256)"
"batchTransfer(address[],uint256)","approve(address,uint256)"
"setAdministrator(bytes32,bool)","approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
"allowApprovee(address,bool)","approve(address,uint256)"
reinvest(),"approve(address,uint256)"
setReferralFee(uint8),calculateEthereumReceived(uint256)
setDividendFee(uint8),calculateEthereumReceived(uint256)
setStakingRequirement(uint256),calculateEthereumReceived(uint256)
disableInitialStage(),calculateEthereumReceived(uint256)
setSymbol(string),calculateEthereumReceived(uint256)
setName(string),calculateEthereumReceived(uint256)
"approve(address,uint256)","transferFrom(address,address,uint256)"
"batchTransfer(address[],uint256)","transferFrom(address,address,uint256)"
"setAdministrator(bytes32,bool)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"allowApprovee(address,bool)","transferFrom(address,address,uint256)"
reinvest(),"transferFrom(address,address,uint256)"
"approve(address,uint256)",setReferralFee(uint8)
"transferFrom(address,address,uint256)",setReferralFee(uint8)
"batchTransfer(address[],uint256)",setReferralFee(uint8)
"setAdministrator(bytes32,bool)",setReferralFee(uint8)
"transfer(address,uint256)",setReferralFee(uint8)
"allowApprovee(address,bool)",setReferralFee(uint8)
reinvest(),setReferralFee(uint8)
"approve(address,uint256)",setDividendFee(uint8)
"transferFrom(address,address,uint256)",setDividendFee(uint8)
"batchTransfer(address[],uint256)",setDividendFee(uint8)
"setAdministrator(bytes32,bool)",setDividendFee(uint8)
"transfer(address,uint256)",setDividendFee(uint8)
"allowApprovee(address,bool)",setDividendFee(uint8)
reinvest(),setDividendFee(uint8)
"approve(address,uint256)",setStakingRequirement(uint256)
"transferFrom(address,address,uint256)",setStakingRequirement(uint256)
"batchTransfer(address[],uint256)",setStakingRequirement(uint256)
"setAdministrator(bytes32,bool)",setStakingRequirement(uint256)
"transfer(address,uint256)",setStakingRequirement(uint256)
"allowApprovee(address,bool)",setStakingRequirement(uint256)
reinvest(),setStakingRequirement(uint256)
"approve(address,uint256)","setAdministrator(bytes32,bool)"
"transferFrom(address,address,uint256)","setAdministrator(bytes32,bool)"
"batchTransfer(address[],uint256)","setAdministrator(bytes32,bool)"
"transfer(address,uint256)","setAdministrator(bytes32,bool)"
"allowApprovee(address,bool)","setAdministrator(bytes32,bool)"
reinvest(),"setAdministrator(bytes32,bool)"
"approve(address,uint256)",disableInitialStage()
"transferFrom(address,address,uint256)",disableInitialStage()
"batchTransfer(address[],uint256)",disableInitialStage()
"setAdministrator(bytes32,bool)",disableInitialStage()
"transfer(address,uint256)",disableInitialStage()
"allowApprovee(address,bool)",disableInitialStage()
reinvest(),disableInitialStage()
"approve(address,uint256)","allowApprovee(address,bool)"
"transferFrom(address,address,uint256)","allowApprovee(address,bool)"
"batchTransfer(address[],uint256)","allowApprovee(address,bool)"
"setAdministrator(bytes32,bool)","allowApprovee(address,bool)"
"transfer(address,uint256)","allowApprovee(address,bool)"
reinvest(),"allowApprovee(address,bool)"
"approve(address,uint256)",setSymbol(string)
"transferFrom(address,address,uint256)",setSymbol(string)
"batchTransfer(address[],uint256)",setSymbol(string)
"setAdministrator(bytes32,bool)",setSymbol(string)
"transfer(address,uint256)",setSymbol(string)
"allowApprovee(address,bool)",setSymbol(string)
reinvest(),setSymbol(string)
"approve(address,uint256)",setName(string)
"transferFrom(address,address,uint256)",setName(string)
"batchTransfer(address[],uint256)",setName(string)
"setAdministrator(bytes32,bool)",setName(string)
"transfer(address,uint256)",setName(string)
"allowApprovee(address,bool)",setName(string)
reinvest(),setName(string)
