Source Function,Target Function
unlockContract(),getTokenBalance(address)
lockContract(),getTokenBalance(address)
setAirdrop(uint256),getTokenBalance(address)
bonusOff(),getTokenBalance(address)
bonusOn(),getTokenBalance(address)
"setCrowdsale(uint256,uint256)",getTokenBalance(address)
transferOwnership(address),getTokenBalance(address)
unlockContract(),tokensAvailable()
lockContract(),tokensAvailable()
setAirdrop(uint256),tokensAvailable()
bonusOff(),tokensAvailable()
bonusOn(),tokensAvailable()
"setCrowdsale(uint256,uint256)",tokensAvailable()
transferOwnership(address),tokensAvailable()
