Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"sendBatchCS(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unpause(),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
claimOwnership(),"mint(address,uint256)"
renounceOwnership(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
setWhiteLister(address),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
setMinter(address),"mint(address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"mint(address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"sendBatchCS(address[],uint256[])",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"sendBatchCS(address[],uint256[])","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
unpause(),"emergencyERC20Drain(address,uint256)"
"mint(address,uint256)","emergencyERC20Drain(address,uint256)"
burn(uint256),"emergencyERC20Drain(address,uint256)"
claimOwnership(),"emergencyERC20Drain(address,uint256)"
renounceOwnership(),"emergencyERC20Drain(address,uint256)"
finishMinting(),"emergencyERC20Drain(address,uint256)"
pause(),"emergencyERC20Drain(address,uint256)"
setWhiteLister(address),"emergencyERC20Drain(address,uint256)"
transferOwnership(address),"emergencyERC20Drain(address,uint256)"
setMinter(address),"emergencyERC20Drain(address,uint256)"
