Source Function,Target Function
"approve(address,uint256)","modifySlogan(uint256,string)"
"transferFrom(address,address,uint256)","modifySlogan(uint256,string)"
"activity(uint256,uint256)","modifySlogan(uint256,string)"
"transfer(address,uint256)","modifySlogan(uint256,string)"
takeOwnership(uint256),"modifySlogan(uint256,string)"
purchase(uint256),"modifySlogan(uint256,string)"
setCEO(address),createContractPerson(string)
setCOO(address),createContractPerson(string)
pauseGame(),createContractPerson(string)
"createPromoPerson(address,string,uint64,uint64,string,uint256)",createContractPerson(string)
unPauseGame(),createContractPerson(string)
setCEO(address),"createPromoPerson(address,string,uint64,uint64,string,uint256)"
setCOO(address),"createPromoPerson(address,string,uint64,uint64,string,uint256)"
pauseGame(),"createPromoPerson(address,string,uint64,uint64,string,uint256)"
unPauseGame(),"createPromoPerson(address,string,uint64,uint64,string,uint256)"
"approve(address,uint256)",ownerOf(uint256)
"transferFrom(address,address,uint256)",ownerOf(uint256)
"activity(uint256,uint256)",ownerOf(uint256)
"transfer(address,uint256)",ownerOf(uint256)
takeOwnership(uint256),ownerOf(uint256)
purchase(uint256),ownerOf(uint256)
"approve(address,uint256)","activity(uint256,uint256)"
"transferFrom(address,address,uint256)","activity(uint256,uint256)"
"transfer(address,uint256)","activity(uint256,uint256)"
takeOwnership(uint256),"activity(uint256,uint256)"
purchase(uint256),"activity(uint256,uint256)"
"approve(address,uint256)",purchase(uint256)
"transferFrom(address,address,uint256)",purchase(uint256)
"activity(uint256,uint256)",purchase(uint256)
"transfer(address,uint256)",purchase(uint256)
takeOwnership(uint256),purchase(uint256)
"modifySlogan(uint256,string)",purchase(uint256)
