Source Function,Target Function
setPrice(uint256),changeTokenReward(address)
changeWallet(address),changeTokenReward(address)
startSale(),changeTokenReward(address)
stopSale(),changeTokenReward(address)
changeTokenReward(address),setPrice(uint256)
changeWallet(address),setPrice(uint256)
startSale(),setPrice(uint256)
stopSale(),setPrice(uint256)
changeTokenReward(address),changeWallet(address)
setPrice(uint256),changeWallet(address)
startSale(),changeWallet(address)
stopSale(),changeWallet(address)
changeTokenReward(address),startSale()
setPrice(uint256),startSale()
changeWallet(address),startSale()
stopSale(),startSale()
changeTokenReward(address),stopSale()
setPrice(uint256),stopSale()
changeWallet(address),stopSale()
startSale(),stopSale()
changeTokenReward(address),withdrawTokens(uint256)
setPrice(uint256),withdrawTokens(uint256)
changeWallet(address),withdrawTokens(uint256)
startSale(),withdrawTokens(uint256)
stopSale(),withdrawTokens(uint256)
