Source Function,Target Function
"burn(address,uint256)",setAcceptable(address)
mint(uint256),setAcceptable(address)
transferOwnership(address),setAcceptable(address)
setAcceptable(address),"transferFromOwner(address,uint256)"
"burn(address,uint256)","transferFromOwner(address,uint256)"
mint(uint256),"transferFromOwner(address,uint256)"
transferOwnership(address),"transferFromOwner(address,uint256)"
"approve(address,uint256)","transferFromOwner(address,uint256)"
"transferFrom(address,address,uint256)","transferFromOwner(address,uint256)"
"decreaseApproval(address,uint256)","transferFromOwner(address,uint256)"
"transfer(address,uint256)","transferFromOwner(address,uint256)"
"increaseApproval(address,uint256)","transferFromOwner(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"transferFromOwner(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"burn(address,uint256)","transferFrom(address,address,uint256)"
mint(uint256),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","burn(address,uint256)"
"transferFromOwner(address,uint256)","burn(address,uint256)"
"transferFrom(address,address,uint256)","burn(address,uint256)"
"decreaseApproval(address,uint256)","burn(address,uint256)"
mint(uint256),"burn(address,uint256)"
"transfer(address,uint256)","burn(address,uint256)"
"increaseApproval(address,uint256)","burn(address,uint256)"
setAcceptable(address),mint(uint256)
"burn(address,uint256)",mint(uint256)
transferOwnership(address),mint(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFromOwner(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"burn(address,uint256)","transfer(address,uint256)"
mint(uint256),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
setAcceptable(address),transferOwnership(address)
"burn(address,uint256)",transferOwnership(address)
mint(uint256),transferOwnership(address)
