Source Function,Target Function
"setApprovalForAll(address,bool)",makeUntradable(uint8)
"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])",makeUntradable(uint8)
"approveAll(address,uint256[])",makeUntradable(uint8)
"createCard(address,uint16,uint16)",makeUntradable(uint8)
"approve(address,uint256)",makeUntradable(uint8)
makePermanantlyTradable(uint8),makeUntradable(uint8)
"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)",makeUntradable(uint8)
"setLimit(uint16,uint64)",makeUntradable(uint8)
makeTradeable(uint8),makeUntradable(uint8)
"setApprovalForAll(address,bool)","addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
makeUntradable(uint8),"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
"approveAll(address,uint256[])","addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
"createCard(address,uint16,uint16)","addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
"approve(address,uint256)","addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
makePermanantlyTradable(uint8),"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)","addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
"setLimit(uint16,uint64)","addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
makeTradeable(uint8),"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])"
"setApprovalForAll(address,bool)","createCard(address,uint16,uint16)"
makeUntradable(uint8),"createCard(address,uint16,uint16)"
"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])","createCard(address,uint16,uint16)"
"approveAll(address,uint256[])","createCard(address,uint16,uint16)"
"approve(address,uint256)","createCard(address,uint16,uint16)"
makePermanantlyTradable(uint8),"createCard(address,uint16,uint16)"
"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)","createCard(address,uint16,uint16)"
"setLimit(uint16,uint64)","createCard(address,uint16,uint16)"
makeTradeable(uint8),"createCard(address,uint16,uint16)"
"setApprovalForAll(address,bool)",makePermanantlyTradable(uint8)
makeUntradable(uint8),makePermanantlyTradable(uint8)
"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])",makePermanantlyTradable(uint8)
"approveAll(address,uint256[])",makePermanantlyTradable(uint8)
"createCard(address,uint16,uint16)",makePermanantlyTradable(uint8)
"approve(address,uint256)",makePermanantlyTradable(uint8)
"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)",makePermanantlyTradable(uint8)
"setLimit(uint16,uint64)",makePermanantlyTradable(uint8)
makeTradeable(uint8),makePermanantlyTradable(uint8)
"setApprovalForAll(address,bool)","replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
makeUntradable(uint8),"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])","replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
"approveAll(address,uint256[])","replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
"createCard(address,uint16,uint16)","replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
"approve(address,uint256)","replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
makePermanantlyTradable(uint8),"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
"setLimit(uint16,uint64)","replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
makeTradeable(uint8),"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)"
"setApprovalForAll(address,bool)","setLimit(uint16,uint64)"
makeUntradable(uint8),"setLimit(uint16,uint64)"
"addProtos(uint16[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],uint8[],bool[])","setLimit(uint16,uint64)"
"approveAll(address,uint256[])","setLimit(uint16,uint64)"
"createCard(address,uint16,uint16)","setLimit(uint16,uint64)"
"approve(address,uint256)","setLimit(uint16,uint64)"
makePermanantlyTradable(uint8),"setLimit(uint16,uint64)"
"replaceProto(uint16,uint8,uint8,uint8,uint8,uint8,uint8)","setLimit(uint16,uint64)"
makeTradeable(uint8),"setLimit(uint16,uint64)"
