Source Function,Target Function
withdraw(uint256),createWinner()
buyAgain(uint256),createWinner()
"buy(uint256,address)",createWinner()
"lottery(address,uint256)",createWinner()
startGame(),createWinner()
setRecommenderAllow(),createWinner()
createWinner(),buyAgain(uint256)
withdraw(uint256),buyAgain(uint256)
"buy(uint256,address)",buyAgain(uint256)
"lottery(address,uint256)",buyAgain(uint256)
startGame(),buyAgain(uint256)
setRecommenderAllow(),buyAgain(uint256)
createWinner(),"buy(uint256,address)"
withdraw(uint256),"buy(uint256,address)"
buyAgain(uint256),"buy(uint256,address)"
"lottery(address,uint256)","buy(uint256,address)"
startGame(),"buy(uint256,address)"
setRecommenderAllow(),"buy(uint256,address)"
createWinner(),"lottery(address,uint256)"
withdraw(uint256),"lottery(address,uint256)"
buyAgain(uint256),"lottery(address,uint256)"
"buy(uint256,address)","lottery(address,uint256)"
startGame(),"lottery(address,uint256)"
setRecommenderAllow(),"lottery(address,uint256)"
setGame(bool),devWithdraw()
"lottery(address,uint256)",devWithdraw()
setService(address),devWithdraw()
setAllowPrice(uint256),devWithdraw()
setRecommenderAllow(),devWithdraw()
createWinner(),setRecommenderAllow()
withdraw(uint256),setRecommenderAllow()
buyAgain(uint256),setRecommenderAllow()
"buy(uint256,address)",setRecommenderAllow()
"lottery(address,uint256)",setRecommenderAllow()
startGame(),setRecommenderAllow()
