Source Function,Target Function
"mintTokens(address,uint256)",burnTokens(uint256)
transferOwnership(address),burnTokens(uint256)
"approve(address,uint256)",burnTokens(uint256)
"transferFrom(address,address,uint256)",burnTokens(uint256)
"transfer(address,uint256)",burnTokens(uint256)
burnTokens(uint256),"mintTokens(address,uint256)"
transferOwnership(address),"mintTokens(address,uint256)"
burnTokens(uint256),transferOwnership(address)
"mintTokens(address,uint256)",transferOwnership(address)
"approve(address,uint256)",transferOwnership(address)
"transferFrom(address,address,uint256)",transferOwnership(address)
"transfer(address,uint256)",transferOwnership(address)
