Source Function,Target Function
"setToken(address,bool)","cancel(uint256,address)"
"buy(uint256,address)","cancel(uint256,address)"
"setManager(address,bool)","cancel(uint256,address)"
"onERC721Received(address,uint256,bytes)","cancel(uint256,address)"
"setToken(address,bool)","buy(uint256,address)"
"cancel(uint256,address)","buy(uint256,address)"
"setManager(address,bool)","buy(uint256,address)"
"onERC721Received(address,uint256,bytes)","buy(uint256,address)"
"setToken(address,bool)","onERC721Received(address,uint256,bytes)"
"cancel(uint256,address)","onERC721Received(address,uint256,bytes)"
"buy(uint256,address)","onERC721Received(address,uint256,bytes)"
"setManager(address,bool)","onERC721Received(address,uint256,bytes)"
