Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"buy(uint256,uint256,uint256,bytes32,bytes32,uint8)","transferFrom(address,address,uint256)"
"mint(address,uint256)",withdrawEther(uint256)
burn(uint256),withdrawEther(uint256)
renounceOwnership(),withdrawEther(uint256)
finishMinting(),withdrawEther(uint256)
transferOwnership(address),withdrawEther(uint256)
burn(uint256),"mint(address,uint256)"
renounceOwnership(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"mint(address,uint256)",burn(uint256)
renounceOwnership(),burn(uint256)
finishMinting(),burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"buy(uint256,uint256,uint256,bytes32,bytes32,uint8)",burn(uint256)
"mint(address,uint256)",renounceOwnership()
burn(uint256),renounceOwnership()
finishMinting(),renounceOwnership()
transferOwnership(address),renounceOwnership()
"mint(address,uint256)",finishMinting()
burn(uint256),finishMinting()
renounceOwnership(),finishMinting()
transferOwnership(address),finishMinting()
"mint(address,uint256)",depositEther()
burn(uint256),depositEther()
renounceOwnership(),depositEther()
finishMinting(),depositEther()
transferOwnership(address),depositEther()
"approve(address,uint256)","sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
"transferFrom(address,address,uint256)","sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
"mint(address,uint256)","sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
burn(uint256),"sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
"decreaseApproval(address,uint256)","sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
"transfer(address,uint256)","sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
"increaseApproval(address,uint256)","sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
"buy(uint256,uint256,uint256,bytes32,bytes32,uint8)","sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"buy(uint256,uint256,uint256,bytes32,bytes32,uint8)","transfer(address,uint256)"
"approve(address,uint256)","buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
"transferFrom(address,address,uint256)","buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
"mint(address,uint256)","buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
burn(uint256),"buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
"decreaseApproval(address,uint256)","buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
"sell(uint256,uint256,uint256,uint256,bytes32,bytes32,uint8)","buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
"transfer(address,uint256)","buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
"increaseApproval(address,uint256)","buy(uint256,uint256,uint256,bytes32,bytes32,uint8)"
"mint(address,uint256)",transferOwnership(address)
burn(uint256),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
finishMinting(),transferOwnership(address)
