Source Function,Target Function
"transferFrom(address,address,uint256)","approve(address,uint256)"
tokenBurn(uint256),"approve(address,uint256)"
tokenFactory(uint256),"approve(address,uint256)"
removeModerator(address),"approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
addModerator(address),"approve(address,uint256)"
"singlePayout(address,uint256)","approve(address,uint256)"
freezeTransfers(),tokenBurn(uint256)
launchContract(),tokenBurn(uint256)
tokenFactory(uint256),tokenBurn(uint256)
thawTransfers(),tokenBurn(uint256)
"singlePayout(address,uint256)",tokenBurn(uint256)
transferOwnership(address),tokenBurn(uint256)
"approve(address,uint256)",tokenBurn(uint256)
"transferFrom(address,address,uint256)",tokenBurn(uint256)
removeModerator(address),tokenBurn(uint256)
"transfer(address,uint256)",tokenBurn(uint256)
addModerator(address),tokenBurn(uint256)
freezeTransfers(),removeModerator(address)
launchContract(),removeModerator(address)
tokenBurn(uint256),removeModerator(address)
tokenFactory(uint256),removeModerator(address)
thawTransfers(),removeModerator(address)
"singlePayout(address,uint256)",removeModerator(address)
transferOwnership(address),removeModerator(address)
freezeTransfers(),addModerator(address)
launchContract(),addModerator(address)
tokenBurn(uint256),addModerator(address)
tokenFactory(uint256),addModerator(address)
thawTransfers(),addModerator(address)
"singlePayout(address,uint256)",addModerator(address)
transferOwnership(address),addModerator(address)
freezeTransfers(),transferOwnership(address)
launchContract(),transferOwnership(address)
tokenBurn(uint256),transferOwnership(address)
tokenFactory(uint256),transferOwnership(address)
thawTransfers(),transferOwnership(address)
"singlePayout(address,uint256)",transferOwnership(address)
