Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"mintToken(address,uint256)","transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"transferBatch(address[],uint256)","transferFrom(address,address,uint256)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256)"
setLock(bool),burn(uint256)
"mintToken(address,uint256)",burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"transferBatch(address[],uint256)",burn(uint256)
"freezeAccount(address,bool)",burn(uint256)
burn(uint256),setLock(bool)
"mintToken(address,uint256)",setLock(bool)
"burnFrom(address,uint256)",setLock(bool)
transferOwnership(address),setLock(bool)
burn(uint256),"mintToken(address,uint256)"
setLock(bool),"mintToken(address,uint256)"
"burnFrom(address,uint256)","mintToken(address,uint256)"
transferOwnership(address),"mintToken(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
setLock(bool),"burnFrom(address,uint256)"
"mintToken(address,uint256)","burnFrom(address,uint256)"
transferOwnership(address),"burnFrom(address,uint256)"
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
"transferBatch(address[],uint256)","burnFrom(address,uint256)"
"freezeAccount(address,bool)","burnFrom(address,uint256)"
"approve(address,uint256)","transferBatch(address[],uint256)"
"transferFrom(address,address,uint256)","transferBatch(address[],uint256)"
burn(uint256),"transferBatch(address[],uint256)"
"mintToken(address,uint256)","transferBatch(address[],uint256)"
"burnFrom(address,uint256)","transferBatch(address[],uint256)"
"freezeAccount(address,bool)","transferBatch(address[],uint256)"
burn(uint256),"freezeAccount(address,bool)"
setLock(bool),"freezeAccount(address,bool)"
"mintToken(address,uint256)","freezeAccount(address,bool)"
"burnFrom(address,uint256)","freezeAccount(address,bool)"
transferOwnership(address),"freezeAccount(address,bool)"
burn(uint256),transferOwnership(address)
setLock(bool),transferOwnership(address)
"mintToken(address,uint256)",transferOwnership(address)
"burnFrom(address,uint256)",transferOwnership(address)
