Source Function,Target Function
approveLoan(uint256),"registerApprove(bytes32,uint8,bytes32,bytes32)"
"withdrawal(uint256,address,uint256)","registerApprove(bytes32,uint8,bytes32,bytes32)"
"lend(uint256,bytes,address,bytes)","registerApprove(bytes32,uint8,bytes32,bytes32)"
"pay(uint256,uint256,address,bytes)","registerApprove(bytes32,uint8,bytes32,bytes32)"
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)","registerApprove(bytes32,uint8,bytes32,bytes32)"
approveLoanIdentifier(bytes32),"registerApprove(bytes32,uint8,bytes32,bytes32)"
"approve(address,uint256)","registerApprove(bytes32,uint8,bytes32,bytes32)"
"cosign(uint256,uint256)","registerApprove(bytes32,uint8,bytes32,bytes32)"
"approve(address,uint256)","withdrawal(uint256,address,uint256)"
"lend(uint256,bytes,address,bytes)","withdrawal(uint256,address,uint256)"
"pay(uint256,uint256,address,bytes)","withdrawal(uint256,address,uint256)"
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)","withdrawal(uint256,address,uint256)"
"cosign(uint256,uint256)","withdrawal(uint256,address,uint256)"
"withdrawal(uint256,address,uint256)","approve(address,uint256)"
"lend(uint256,bytes,address,bytes)","approve(address,uint256)"
"pay(uint256,uint256,address,bytes)","approve(address,uint256)"
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)","approve(address,uint256)"
"cosign(uint256,uint256)","approve(address,uint256)"
"withdrawal(uint256,address,uint256)","lend(uint256,bytes,address,bytes)"
"approve(address,uint256)","lend(uint256,bytes,address,bytes)"
"pay(uint256,uint256,address,bytes)","lend(uint256,bytes,address,bytes)"
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)","lend(uint256,bytes,address,bytes)"
"cosign(uint256,uint256)","lend(uint256,bytes,address,bytes)"
"withdrawal(uint256,address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"lend(uint256,bytes,address,bytes)","transferFrom(address,address,uint256)"
"pay(uint256,uint256,address,bytes)","transferFrom(address,address,uint256)"
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)","transferFrom(address,address,uint256)"
"cosign(uint256,uint256)","transferFrom(address,address,uint256)"
"registerApprove(bytes32,uint8,bytes32,bytes32)",destroyIdentifier(bytes32)
approveLoan(uint256),destroyIdentifier(bytes32)
"withdrawal(uint256,address,uint256)",destroyIdentifier(bytes32)
"lend(uint256,bytes,address,bytes)",destroyIdentifier(bytes32)
"pay(uint256,uint256,address,bytes)",destroyIdentifier(bytes32)
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)",destroyIdentifier(bytes32)
approveLoanIdentifier(bytes32),destroyIdentifier(bytes32)
"registerApprove(bytes32,uint8,bytes32,bytes32)","createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)"
approveLoan(uint256),"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)"
"withdrawal(uint256,address,uint256)","createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)"
"lend(uint256,bytes,address,bytes)","createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)"
"pay(uint256,uint256,address,bytes)","createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)"
approveLoanIdentifier(bytes32),"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)"
"withdrawal(uint256,address,uint256)","cosign(uint256,uint256)"
"approve(address,uint256)","cosign(uint256,uint256)"
"lend(uint256,bytes,address,bytes)","cosign(uint256,uint256)"
"pay(uint256,uint256,address,bytes)","cosign(uint256,uint256)"
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)","cosign(uint256,uint256)"
"registerApprove(bytes32,uint8,bytes32,bytes32)",approveLoanIdentifier(bytes32)
approveLoan(uint256),approveLoanIdentifier(bytes32)
"withdrawal(uint256,address,uint256)",approveLoanIdentifier(bytes32)
"lend(uint256,bytes,address,bytes)",approveLoanIdentifier(bytes32)
"pay(uint256,uint256,address,bytes)",approveLoanIdentifier(bytes32)
"createLoan(address,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256,string)",approveLoanIdentifier(bytes32)
