Source Function,Target Function
createGame(bytes32),closeMyGame(uint256)
revealGameByGuest(uint256),closeMyGame(uint256)
"revealGameByHost(uint256,uint256,bytes32)",closeMyGame(uint256)
"joinGame(uint256,uint256)",closeMyGame(uint256)
createGame(bytes32),revealGameByGuest(uint256)
closeMyGame(uint256),revealGameByGuest(uint256)
"revealGameByHost(uint256,uint256,bytes32)",revealGameByGuest(uint256)
"joinGame(uint256,uint256)",revealGameByGuest(uint256)
createGame(bytes32),"revealGameByHost(uint256,uint256,bytes32)"
closeMyGame(uint256),"revealGameByHost(uint256,uint256,bytes32)"
revealGameByGuest(uint256),"revealGameByHost(uint256,uint256,bytes32)"
"joinGame(uint256,uint256)","revealGameByHost(uint256,uint256,bytes32)"
closeMyGame(uint256),"joinGame(uint256,uint256)"
createGame(bytes32),"joinGame(uint256,uint256)"
revealGameByGuest(uint256),"joinGame(uint256,uint256)"
"revealGameByHost(uint256,uint256,bytes32)","joinGame(uint256,uint256)"
createGame(bytes32),getAvailableGameWithID(uint256)
setCEO(address),withdrawTipForDeveloper()
unpause(),withdrawTipForDeveloper()
createGame(bytes32),withdrawTipForDeveloper()
revealGameByGuest(uint256),withdrawTipForDeveloper()
pause(),withdrawTipForDeveloper()
"revealGameByHost(uint256,uint256,bytes32)",withdrawTipForDeveloper()
