Source Function,Target Function
endCrowdsale(),transferBeneficiary(address)
unpauseCrowdsale(),transferBeneficiary(address)
startCrowdsale(),transferBeneficiary(address)
pauseCrowdsale(),transferBeneficiary(address)
transferOwnership(address),transferBeneficiary(address)
transferBeneficiary(address),endCrowdsale()
unpauseCrowdsale(),endCrowdsale()
startCrowdsale(),endCrowdsale()
pauseCrowdsale(),endCrowdsale()
transferOwnership(address),endCrowdsale()
transferBeneficiary(address),unpauseCrowdsale()
endCrowdsale(),unpauseCrowdsale()
startCrowdsale(),unpauseCrowdsale()
pauseCrowdsale(),unpauseCrowdsale()
transferOwnership(address),unpauseCrowdsale()
transferBeneficiary(address),startCrowdsale()
endCrowdsale(),startCrowdsale()
unpauseCrowdsale(),startCrowdsale()
pauseCrowdsale(),startCrowdsale()
transferOwnership(address),startCrowdsale()
transferBeneficiary(address),pauseCrowdsale()
endCrowdsale(),pauseCrowdsale()
unpauseCrowdsale(),pauseCrowdsale()
startCrowdsale(),pauseCrowdsale()
transferOwnership(address),pauseCrowdsale()
transferBeneficiary(address),withdrawStudios()
endCrowdsale(),withdrawStudios()
unpauseCrowdsale(),withdrawStudios()
startCrowdsale(),withdrawStudios()
pauseCrowdsale(),withdrawStudios()
transferOwnership(address),withdrawStudios()
transferBeneficiary(address),transferOwnership(address)
endCrowdsale(),transferOwnership(address)
unpauseCrowdsale(),transferOwnership(address)
startCrowdsale(),transferOwnership(address)
pauseCrowdsale(),transferOwnership(address)
