Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"increaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
unfreezeAccount(address),"transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"unlock(address,uint256)","transferFrom(address,address,uint256)"
"decreaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
freezeAccount(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)",unfreezeAccount(address)
"transferFrom(address,address,uint256)",unfreezeAccount(address)
"increaseAllowance(address,uint256)",unfreezeAccount(address)
"mint(address,uint256)",unfreezeAccount(address)
"burnFrom(address,uint256)",unfreezeAccount(address)
"unlock(address,uint256)",unfreezeAccount(address)
"decreaseAllowance(address,uint256)",unfreezeAccount(address)
freezeAccount(address),unfreezeAccount(address)
transferOwnership(address),acceptOwnership()
upgradeTo(address),acceptOwnership()
unpause(),acceptOwnership()
"mint(address,uint256)",acceptOwnership()
pause(),acceptOwnership()
"approve(address,uint256)","unlock(address,uint256)"
"transferFrom(address,address,uint256)","unlock(address,uint256)"
"increaseAllowance(address,uint256)","unlock(address,uint256)"
"mint(address,uint256)","unlock(address,uint256)"
unfreezeAccount(address),"unlock(address,uint256)"
"burnFrom(address,uint256)","unlock(address,uint256)"
"decreaseAllowance(address,uint256)","unlock(address,uint256)"
freezeAccount(address),"unlock(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"increaseAllowance(address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
unfreezeAccount(address),"transfer(address,uint256)"
"burnFrom(address,uint256)","transfer(address,uint256)"
"unlock(address,uint256)","transfer(address,uint256)"
"decreaseAllowance(address,uint256)","transfer(address,uint256)"
freezeAccount(address),"transfer(address,uint256)"
"approve(address,uint256)","lock(address,uint256,uint256)"
"transferFrom(address,address,uint256)","lock(address,uint256,uint256)"
"increaseAllowance(address,uint256)","lock(address,uint256,uint256)"
"mint(address,uint256)","lock(address,uint256,uint256)"
unfreezeAccount(address),"lock(address,uint256,uint256)"
"burnFrom(address,uint256)","lock(address,uint256,uint256)"
"unlock(address,uint256)","lock(address,uint256,uint256)"
"decreaseAllowance(address,uint256)","lock(address,uint256,uint256)"
freezeAccount(address),"lock(address,uint256,uint256)"
"approve(address,uint256)",freezeAccount(address)
"transferFrom(address,address,uint256)",freezeAccount(address)
"increaseAllowance(address,uint256)",freezeAccount(address)
"mint(address,uint256)",freezeAccount(address)
unfreezeAccount(address),freezeAccount(address)
"burnFrom(address,uint256)",freezeAccount(address)
"unlock(address,uint256)",freezeAccount(address)
"decreaseAllowance(address,uint256)",freezeAccount(address)
