Source Function,Target Function
"approve(address,uint256)",removeOwner(address)
"transferFrom(address,address,uint256)",removeOwner(address)
burn(uint256),removeOwner(address)
"decreaseApproval(address,uint256)",removeOwner(address)
addOwner(address),removeOwner(address)
"transfer(address,uint256)",removeOwner(address)
"increaseApproval(address,uint256)",removeOwner(address)
"approve(address,uint256)",removeFromAdminlist(address)
removeOwner(address),removeFromAdminlist(address)
"transferFrom(address,address,uint256)",removeFromAdminlist(address)
burn(uint256),removeFromAdminlist(address)
"decreaseApproval(address,uint256)",removeFromAdminlist(address)
addOwner(address),removeFromAdminlist(address)
"transfer(address,uint256)",removeFromAdminlist(address)
"increaseApproval(address,uint256)",removeFromAdminlist(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
removeOwner(address),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
addOwner(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
removeOwner(address),burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
addOwner(address),burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"approve(address,uint256)",addOwner(address)
removeOwner(address),addOwner(address)
"transferFrom(address,address,uint256)",addOwner(address)
burn(uint256),addOwner(address)
"decreaseApproval(address,uint256)",addOwner(address)
"transfer(address,uint256)",addOwner(address)
"increaseApproval(address,uint256)",addOwner(address)
"approve(address,uint256)","transfer(address,uint256)"
removeOwner(address),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
addOwner(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)",addToAdminlist(address)
removeOwner(address),addToAdminlist(address)
"transferFrom(address,address,uint256)",addToAdminlist(address)
burn(uint256),addToAdminlist(address)
"decreaseApproval(address,uint256)",addToAdminlist(address)
addOwner(address),addToAdminlist(address)
"transfer(address,uint256)",addToAdminlist(address)
"increaseApproval(address,uint256)",addToAdminlist(address)
