Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
disableWhitelist(address[]),"transferFrom(address,address,uint256)"
"Mining24(uint256,uint256)","transferFrom(address,address,uint256)"
airdrop(address[]),"transferFrom(address,address,uint256)"
enableWhitelist(address[]),"transferFrom(address,address,uint256)"
"distributeAmounts(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"distribution(address[],uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
disableWhitelist(address[]),burn(uint256)
"Mining24(uint256,uint256)",burn(uint256)
airdrop(address[]),burn(uint256)
enableWhitelist(address[]),burn(uint256)
"distributeAmounts(address[],uint256[])",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"distribution(address[],uint256)",burn(uint256)
burn(uint256),airdrop(address[])
"Mining24(uint256,uint256)",airdrop(address[])
"setParameters(uint256,uint256)",airdrop(address[])
finishDistribution(),airdrop(address[])
"distributeAmounts(address[],uint256[])",airdrop(address[])
transferOwnership(address),airdrop(address[])
"distribution(address[],uint256)",airdrop(address[])
burn(uint256),finishDistribution()
"Mining24(uint256,uint256)",finishDistribution()
airdrop(address[]),finishDistribution()
"setParameters(uint256,uint256)",finishDistribution()
"distributeAmounts(address[],uint256[])",finishDistribution()
transferOwnership(address),finishDistribution()
"distribution(address[],uint256)",finishDistribution()
burn(uint256),"distributeAmounts(address[],uint256[])"
"Mining24(uint256,uint256)","distributeAmounts(address[],uint256[])"
airdrop(address[]),"distributeAmounts(address[],uint256[])"
"setParameters(uint256,uint256)","distributeAmounts(address[],uint256[])"
finishDistribution(),"distributeAmounts(address[],uint256[])"
transferOwnership(address),"distributeAmounts(address[],uint256[])"
"distribution(address[],uint256)","distributeAmounts(address[],uint256[])"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
disableWhitelist(address[]),"transfer(address,uint256)"
"Mining24(uint256,uint256)","transfer(address,uint256)"
airdrop(address[]),"transfer(address,uint256)"
enableWhitelist(address[]),"transfer(address,uint256)"
"distributeAmounts(address[],uint256[])","transfer(address,uint256)"
"distribution(address[],uint256)","transfer(address,uint256)"
burn(uint256),"distribution(address[],uint256)"
"Mining24(uint256,uint256)","distribution(address[],uint256)"
airdrop(address[]),"distribution(address[],uint256)"
"setParameters(uint256,uint256)","distribution(address[],uint256)"
finishDistribution(),"distribution(address[],uint256)"
"distributeAmounts(address[],uint256[])","distribution(address[],uint256)"
transferOwnership(address),"distribution(address[],uint256)"
