Source Function,Target Function
changeCEO(address),lockup(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
lockup(address),"transferFrom(address,address,uint256)"
unfreezeAccount(address),"transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
freezeAccount(address),"transferFrom(address,address,uint256)"
changeCEO(address),unfreezeAccount(address)
"approve(address,uint256)",unfreezeAccount(address)
lockup(address),unfreezeAccount(address)
"transferFrom(address,address,uint256)",unfreezeAccount(address)
"approveAndCall(address,uint256,bytes)",unfreezeAccount(address)
freezeAccount(address),unfreezeAccount(address)
changeCEO(address),withdrawContractToken(uint256)
changeCEO(address),freezeAccount(address)
"approve(address,uint256)",freezeAccount(address)
lockup(address),freezeAccount(address)
"transferFrom(address,address,uint256)",freezeAccount(address)
unfreezeAccount(address),freezeAccount(address)
"approveAndCall(address,uint256,bytes)",freezeAccount(address)
changeCEO(address),getBalance(address)
