Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"makeAdmin(address,bool)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"setAdmin(address,bool)","transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"distributeToken(address[],uint256)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"makeAdmin(address,bool)",burn(uint256)
"setAdmin(address,bool)",burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
"distributeToken(address[],uint256)",burn(uint256)
"approveAndCall(address,uint256,bytes)",burn(uint256)
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
"makeAdmin(address,bool)","burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
"setAdmin(address,bool)","burnFrom(address,uint256)"
"distributeToken(address[],uint256)","burnFrom(address,uint256)"
"approveAndCall(address,uint256,bytes)","burnFrom(address,uint256)"
"approve(address,uint256)","transferAndFreeze(address,uint256)"
"transferFrom(address,address,uint256)","transferAndFreeze(address,uint256)"
"makeAdmin(address,bool)","transferAndFreeze(address,uint256)"
burn(uint256),"transferAndFreeze(address,uint256)"
"setAdmin(address,bool)","transferAndFreeze(address,uint256)"
"burnFrom(address,uint256)","transferAndFreeze(address,uint256)"
"distributeToken(address[],uint256)","transferAndFreeze(address,uint256)"
"approveAndCall(address,uint256,bytes)","transferAndFreeze(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"makeAdmin(address,bool)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"setAdmin(address,bool)","transfer(address,uint256)"
"burnFrom(address,uint256)","transfer(address,uint256)"
"distributeToken(address[],uint256)","transfer(address,uint256)"
"approveAndCall(address,uint256,bytes)","transfer(address,uint256)"
"approve(address,uint256)","distributeToken(address[],uint256)"
"transferFrom(address,address,uint256)","distributeToken(address[],uint256)"
"makeAdmin(address,bool)","distributeToken(address[],uint256)"
burn(uint256),"distributeToken(address[],uint256)"
"setAdmin(address,bool)","distributeToken(address[],uint256)"
"burnFrom(address,uint256)","distributeToken(address[],uint256)"
"approveAndCall(address,uint256,bytes)","distributeToken(address[],uint256)"
