Source Function,Target Function
purchasePlayer(uint256),getTeam(uint256)
"createPlayer(string,uint256,uint256)",getTeam(uint256)
purchase(uint256),getTeam(uint256)
"createPlayer(string,uint256,uint256)",purchasePlayer(uint256)
purchase(uint256),purchasePlayer(uint256)
purchasePlayer(uint256),ownerOf(uint256)
"createPlayer(string,uint256,uint256)",ownerOf(uint256)
purchase(uint256),ownerOf(uint256)
purchasePlayer(uint256),getTeamsOfOwner(address)
"createPlayer(string,uint256,uint256)",getTeamsOfOwner(address)
purchase(uint256),getTeamsOfOwner(address)
purchasePlayer(uint256),getPlayersOfOwner(address)
"createPlayer(string,uint256,uint256)",getPlayersOfOwner(address)
purchase(uint256),getPlayersOfOwner(address)
purchasePlayer(uint256),ownerOfPlayer(uint256)
"createPlayer(string,uint256,uint256)",ownerOfPlayer(uint256)
purchase(uint256),ownerOfPlayer(uint256)
purchasePlayer(uint256),getPlayer(uint256)
"createPlayer(string,uint256,uint256)",getPlayer(uint256)
purchase(uint256),getPlayer(uint256)
purchasePlayer(uint256),purchase(uint256)
"createPlayer(string,uint256,uint256)",purchase(uint256)
