Source Function,Target Function
unpause(),"approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
pause(),"approve(address,uint256)"
unpause(),"mintVesting(address,uint256,uint256,uint256,uint256,bool)"
burn(uint256),"mintVesting(address,uint256,uint256,uint256,uint256,bool)"
pause(),"mintVesting(address,uint256,uint256,uint256,uint256,bool)"
unpause(),"transfer(address[],uint256)"
burn(uint256),"transfer(address[],uint256)"
pause(),"transfer(address[],uint256)"
unpause(),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
unpause(),"transferTo(address,uint256)"
burn(uint256),"transferTo(address,uint256)"
pause(),"transferTo(address,uint256)"
unpause(),"increaseAllowance(address,uint256)"
burn(uint256),"increaseAllowance(address,uint256)"
pause(),"increaseAllowance(address,uint256)"
unpause(),revokeVesting(address)
burn(uint256),revokeVesting(address)
pause(),revokeVesting(address)
burn(uint256),unpause()
pause(),unpause()
unpause(),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
pause(),"mint(address,uint256)"
unpause(),burn(uint256)
pause(),burn(uint256)
unpause(),"transfer(address,uint256,string)"
burn(uint256),"transfer(address,uint256,string)"
pause(),"transfer(address,uint256,string)"
unpause(),pause()
burn(uint256),pause()
unpause(),"decreaseAllowance(address,uint256)"
burn(uint256),"decreaseAllowance(address,uint256)"
pause(),"decreaseAllowance(address,uint256)"
unpause(),"transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
unpause(),"transfer(address[],uint256[])"
burn(uint256),"transfer(address[],uint256[])"
pause(),"transfer(address[],uint256[])"
