Source Function,Target Function
"approve(address,uint256)","__callback(bytes32,string)"
removeAdmin(address),"__callback(bytes32,string)"
"transferFrom(address,address,uint256)","__callback(bytes32,string)"
addAdmin(address),"__callback(bytes32,string)"
"resolveLotteryByOraclize(uint32,uint32)","__callback(bytes32,string)"
"redeemToken(uint256,uint32)","__callback(bytes32,string)"
"transfer(address,uint256)","__callback(bytes32,string)"
"buyToken(uint32,uint32,uint32,address)","__callback(bytes32,string)"
cancelLottery(uint32),"freezeLottery(uint32,bool)"
"__callback(bytes32,string)","freezeLottery(uint32,bool)"
"resolveLotteryByHand(uint32,uint32)","freezeLottery(uint32,bool)"
"resolveLotteryByOraclize(uint32,uint32)","freezeLottery(uint32,bool)"
"addLottery(string,uint32,uint32,uint32,uint32,uint32,uint32)","freezeLottery(uint32,bool)"
"buyToken(uint32,uint32,uint32,address)","freezeLottery(uint32,bool)"
"approve(address,uint256)",ownerOf(uint256)
removeAdmin(address),ownerOf(uint256)
"transferFrom(address,address,uint256)",ownerOf(uint256)
addAdmin(address),ownerOf(uint256)
"resolveLotteryByOraclize(uint32,uint32)",ownerOf(uint256)
"redeemToken(uint256,uint32)",ownerOf(uint256)
"transfer(address,uint256)",ownerOf(uint256)
"buyToken(uint32,uint32,uint32,address)",ownerOf(uint256)
cancelLottery(uint32),"resolveLotteryByHand(uint32,uint32)"
"__callback(bytes32,string)","resolveLotteryByHand(uint32,uint32)"
"freezeLottery(uint32,bool)","resolveLotteryByHand(uint32,uint32)"
"resolveLotteryByOraclize(uint32,uint32)","resolveLotteryByHand(uint32,uint32)"
"addLottery(string,uint32,uint32,uint32,uint32,uint32,uint32)","resolveLotteryByHand(uint32,uint32)"
"buyToken(uint32,uint32,uint32,address)","resolveLotteryByHand(uint32,uint32)"
cancelLottery(uint32),"resolveLotteryByOraclize(uint32,uint32)"
"__callback(bytes32,string)","resolveLotteryByOraclize(uint32,uint32)"
"freezeLottery(uint32,bool)","resolveLotteryByOraclize(uint32,uint32)"
"resolveLotteryByHand(uint32,uint32)","resolveLotteryByOraclize(uint32,uint32)"
"addLottery(string,uint32,uint32,uint32,uint32,uint32,uint32)","resolveLotteryByOraclize(uint32,uint32)"
"buyToken(uint32,uint32,uint32,address)","resolveLotteryByOraclize(uint32,uint32)"
"approve(address,uint256)","redeemToken(uint256,uint32)"
removeAdmin(address),"redeemToken(uint256,uint32)"
"transferFrom(address,address,uint256)","redeemToken(uint256,uint32)"
addAdmin(address),"redeemToken(uint256,uint32)"
"resolveLotteryByOraclize(uint32,uint32)","redeemToken(uint256,uint32)"
"transfer(address,uint256)","redeemToken(uint256,uint32)"
"buyToken(uint32,uint32,uint32,address)","redeemToken(uint256,uint32)"
cancelLottery(uint32),"buyToken(uint32,uint32,uint32,address)"
"__callback(bytes32,string)","buyToken(uint32,uint32,uint32,address)"
"freezeLottery(uint32,bool)","buyToken(uint32,uint32,uint32,address)"
"resolveLotteryByHand(uint32,uint32)","buyToken(uint32,uint32,uint32,address)"
"resolveLotteryByOraclize(uint32,uint32)","buyToken(uint32,uint32,uint32,address)"
"addLottery(string,uint32,uint32,uint32,uint32,uint32,uint32)","buyToken(uint32,uint32,uint32,address)"
