Source Function,Target Function
"approve(address,uint256)",BuyGenesis(address)
"setGenesisAddress(address,uint256)",BuyGenesis(address)
"transferFrom(address,address,uint256)",BuyGenesis(address)
SetGenesisBuyPrice(uint256),BuyGenesis(address)
PublicMine(),BuyGenesis(address)
"transfer(address,uint256)",BuyGenesis(address)
TransferGenesis(address),BuyGenesis(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
"setGenesisAddress(address,uint256)","transferFrom(address,address,uint256)"
BuyGenesis(address),"transferFrom(address,address,uint256)"
SetGenesisBuyPrice(uint256),"transferFrom(address,address,uint256)"
PublicMine(),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
TransferGenesis(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)",SetGenesisBuyPrice(uint256)
"setGenesisAddress(address,uint256)",SetGenesisBuyPrice(uint256)
BuyGenesis(address),SetGenesisBuyPrice(uint256)
"transferFrom(address,address,uint256)",SetGenesisBuyPrice(uint256)
PublicMine(),SetGenesisBuyPrice(uint256)
"transfer(address,uint256)",SetGenesisBuyPrice(uint256)
TransferGenesis(address),SetGenesisBuyPrice(uint256)
"approve(address,uint256)",PublicMine()
"setGenesisAddress(address,uint256)",PublicMine()
BuyGenesis(address),PublicMine()
"transferFrom(address,address,uint256)",PublicMine()
SetGenesisBuyPrice(uint256),PublicMine()
"transfer(address,uint256)",PublicMine()
TransferGenesis(address),PublicMine()
"approve(address,uint256)","transfer(address,uint256)"
"setGenesisAddress(address,uint256)","transfer(address,uint256)"
BuyGenesis(address),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
SetGenesisBuyPrice(uint256),"transfer(address,uint256)"
PublicMine(),"transfer(address,uint256)"
TransferGenesis(address),"transfer(address,uint256)"
"approve(address,uint256)",TransferGenesis(address)
"setGenesisAddress(address,uint256)",TransferGenesis(address)
BuyGenesis(address),TransferGenesis(address)
"transferFrom(address,address,uint256)",TransferGenesis(address)
SetGenesisBuyPrice(uint256),TransferGenesis(address)
PublicMine(),TransferGenesis(address)
"transfer(address,uint256)",TransferGenesis(address)
