Source Function,Target Function
burnIcoCoins(),"approve(address,uint256)"
"transferFrom(address,address,uint256)","approve(address,uint256)"
"mintIcoTokenMultiple(address[],uint256[])","approve(address,uint256)"
coinLockRmoveMultiple(address[]),"approve(address,uint256)"
"mintMarketing(address,uint256)","approve(address,uint256)"
transferToOwner(address),"approve(address,uint256)"
coinLockRemove(address),"approve(address,uint256)"
"transferMultiple(address[],uint256[])","approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
reclaimFunds(),"approve(address,uint256)"
burnMktCoins(),"approve(address,uint256)"
burnIcoCoins(),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mintIcoTokenMultiple(address[],uint256[])","transferFrom(address,address,uint256)"
coinLockRmoveMultiple(address[]),"transferFrom(address,address,uint256)"
"mintMarketing(address,uint256)","transferFrom(address,address,uint256)"
transferToOwner(address),"transferFrom(address,address,uint256)"
coinLockRemove(address),"transferFrom(address,address,uint256)"
"transferMultiple(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
reclaimFunds(),"transferFrom(address,address,uint256)"
burnMktCoins(),"transferFrom(address,address,uint256)"
burnIcoCoins(),transferToOwner(address)
"approve(address,uint256)",transferToOwner(address)
"transferFrom(address,address,uint256)",transferToOwner(address)
"mintIcoTokenMultiple(address[],uint256[])",transferToOwner(address)
coinLockRmoveMultiple(address[]),transferToOwner(address)
"mintMarketing(address,uint256)",transferToOwner(address)
coinLockRemove(address),transferToOwner(address)
"transferMultiple(address[],uint256[])",transferToOwner(address)
"transfer(address,uint256)",transferToOwner(address)
reclaimFunds(),transferToOwner(address)
burnMktCoins(),transferToOwner(address)
burnIcoCoins(),"transferMultiple(address[],uint256[])"
"approve(address,uint256)","transferMultiple(address[],uint256[])"
"transferFrom(address,address,uint256)","transferMultiple(address[],uint256[])"
"mintIcoTokenMultiple(address[],uint256[])","transferMultiple(address[],uint256[])"
coinLockRmoveMultiple(address[]),"transferMultiple(address[],uint256[])"
"mintMarketing(address,uint256)","transferMultiple(address[],uint256[])"
transferToOwner(address),"transferMultiple(address[],uint256[])"
coinLockRemove(address),"transferMultiple(address[],uint256[])"
"transfer(address,uint256)","transferMultiple(address[],uint256[])"
reclaimFunds(),"transferMultiple(address[],uint256[])"
burnMktCoins(),"transferMultiple(address[],uint256[])"
burnIcoCoins(),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mintIcoTokenMultiple(address[],uint256[])","transfer(address,uint256)"
coinLockRmoveMultiple(address[]),"transfer(address,uint256)"
"mintMarketing(address,uint256)","transfer(address,uint256)"
transferToOwner(address),"transfer(address,uint256)"
coinLockRemove(address),"transfer(address,uint256)"
"transferMultiple(address[],uint256[])","transfer(address,uint256)"
reclaimFunds(),"transfer(address,uint256)"
burnMktCoins(),"transfer(address,uint256)"
burnIcoCoins(),reclaimFunds()
"approve(address,uint256)",reclaimFunds()
"transferFrom(address,address,uint256)",reclaimFunds()
"mintIcoTokenMultiple(address[],uint256[])",reclaimFunds()
coinLockRmoveMultiple(address[]),reclaimFunds()
"mintMarketing(address,uint256)",reclaimFunds()
transferToOwner(address),reclaimFunds()
coinLockRemove(address),reclaimFunds()
"transferMultiple(address[],uint256[])",reclaimFunds()
"transfer(address,uint256)",reclaimFunds()
burnMktCoins(),reclaimFunds()
