Source Function,Target Function
unpause(),"claimToken(address,address,uint256)"
"mint(address,uint256)","claimToken(address,address,uint256)"
burn(uint256),"claimToken(address,address,uint256)"
acceptOwnership(),"claimToken(address,address,uint256)"
pause(),"claimToken(address,address,uint256)"
transferOwnership(address),"claimToken(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"increaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
unfreezeAccount(address),"transferFrom(address,address,uint256)"
"lock(address,uint256,uint256,uint256,uint256)","transferFrom(address,address,uint256)"
"unlock(address,uint256)","transferFrom(address,address,uint256)"
"decreaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"distributeWithLockup(address,uint256,uint256,uint256,uint256)","transferFrom(address,address,uint256)"
freezeAccount(address),"transferFrom(address,address,uint256)"
"distribute(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)",unpause()
burn(uint256),unpause()
acceptOwnership(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
unpause(),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
acceptOwnership(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
unpause(),burn(uint256)
"mint(address,uint256)",burn(uint256)
acceptOwnership(),burn(uint256)
pause(),burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"increaseAllowance(address,uint256)",burn(uint256)
unfreezeAccount(address),burn(uint256)
"lock(address,uint256,uint256,uint256,uint256)",burn(uint256)
"unlock(address,uint256)",burn(uint256)
"decreaseAllowance(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"distributeWithLockup(address,uint256,uint256,uint256,uint256)",burn(uint256)
freezeAccount(address),burn(uint256)
"distribute(address,uint256)",burn(uint256)
unpause(),unfreezeAccount(address)
"mint(address,uint256)",unfreezeAccount(address)
burn(uint256),unfreezeAccount(address)
acceptOwnership(),unfreezeAccount(address)
pause(),unfreezeAccount(address)
transferOwnership(address),unfreezeAccount(address)
"approve(address,uint256)",unfreezeAccount(address)
"transferFrom(address,address,uint256)",unfreezeAccount(address)
"increaseAllowance(address,uint256)",unfreezeAccount(address)
"lock(address,uint256,uint256,uint256,uint256)",unfreezeAccount(address)
"unlock(address,uint256)",unfreezeAccount(address)
"decreaseAllowance(address,uint256)",unfreezeAccount(address)
"transfer(address,uint256)",unfreezeAccount(address)
"distributeWithLockup(address,uint256,uint256,uint256,uint256)",unfreezeAccount(address)
freezeAccount(address),unfreezeAccount(address)
"distribute(address,uint256)",unfreezeAccount(address)
unpause(),"lock(address,uint256,uint256,uint256,uint256)"
"mint(address,uint256)","lock(address,uint256,uint256,uint256,uint256)"
burn(uint256),"lock(address,uint256,uint256,uint256,uint256)"
acceptOwnership(),"lock(address,uint256,uint256,uint256,uint256)"
pause(),"lock(address,uint256,uint256,uint256,uint256)"
transferOwnership(address),"lock(address,uint256,uint256,uint256,uint256)"
"approve(address,uint256)","lock(address,uint256,uint256,uint256,uint256)"
"transferFrom(address,address,uint256)","lock(address,uint256,uint256,uint256,uint256)"
