Source Function,Target Function
setMaxParticipants(uint256),setPaycarnita(uint256)
"payCarnita(uint256,uint256)",setPaycarnita(uint256)
halt(),setPaycarnita(uint256)
newBitsoAddress(address),setPaycarnita(uint256)
newManager(address),setPaycarnita(uint256)
setPrice(uint256),setPaycarnita(uint256)
unhalt(),setPaycarnita(uint256)
setPaycarnita(uint256),recoverAllEth()
setMaxParticipants(uint256),recoverAllEth()
"payCarnita(uint256,uint256)",recoverAllEth()
halt(),recoverAllEth()
newBitsoAddress(address),recoverAllEth()
newManager(address),recoverAllEth()
setPrice(uint256),recoverAllEth()
unhalt(),recoverAllEth()
setPaycarnita(uint256),setMaxParticipants(uint256)
"payCarnita(uint256,uint256)",setMaxParticipants(uint256)
halt(),setMaxParticipants(uint256)
newBitsoAddress(address),setMaxParticipants(uint256)
newManager(address),setMaxParticipants(uint256)
setPrice(uint256),setMaxParticipants(uint256)
unhalt(),setMaxParticipants(uint256)
setPaycarnita(uint256),"payCarnita(uint256,uint256)"
setMaxParticipants(uint256),"payCarnita(uint256,uint256)"
halt(),"payCarnita(uint256,uint256)"
newBitsoAddress(address),"payCarnita(uint256,uint256)"
newManager(address),"payCarnita(uint256,uint256)"
setPrice(uint256),"payCarnita(uint256,uint256)"
unhalt(),"payCarnita(uint256,uint256)"
setPaycarnita(uint256),halt()
setMaxParticipants(uint256),halt()
"payCarnita(uint256,uint256)",halt()
newBitsoAddress(address),halt()
newManager(address),halt()
setPrice(uint256),halt()
unhalt(),halt()
setPaycarnita(uint256),newBitsoAddress(address)
setMaxParticipants(uint256),newBitsoAddress(address)
"payCarnita(uint256,uint256)",newBitsoAddress(address)
halt(),newBitsoAddress(address)
newManager(address),newBitsoAddress(address)
setPrice(uint256),newBitsoAddress(address)
unhalt(),newBitsoAddress(address)
setPaycarnita(uint256),newManager(address)
setMaxParticipants(uint256),newManager(address)
"payCarnita(uint256,uint256)",newManager(address)
halt(),newManager(address)
newBitsoAddress(address),newManager(address)
setPrice(uint256),newManager(address)
unhalt(),newManager(address)
setPaycarnita(uint256),setPrice(uint256)
setMaxParticipants(uint256),setPrice(uint256)
"payCarnita(uint256,uint256)",setPrice(uint256)
halt(),setPrice(uint256)
newBitsoAddress(address),setPrice(uint256)
newManager(address),setPrice(uint256)
unhalt(),setPrice(uint256)
setPaycarnita(uint256),unhalt()
setMaxParticipants(uint256),unhalt()
"payCarnita(uint256,uint256)",unhalt()
halt(),unhalt()
newBitsoAddress(address),unhalt()
newManager(address),unhalt()
setPrice(uint256),unhalt()
