Source Function,Target Function
startMigration(),destroyMe()
migrateMntp(string),destroyMe()
migrateGold(string),destroyMe()
changeCreator(address),destroyMe()
finishMigration(),destroyMe()
pauseMigration(),destroyMe()
migrateMntp(string),startMigration()
migrateGold(string),startMigration()
changeCreator(address),startMigration()
finishMigration(),startMigration()
pauseMigration(),startMigration()
startMigration(),lockMntpTransfers(bool)
migrateMntp(string),lockMntpTransfers(bool)
migrateGold(string),lockMntpTransfers(bool)
changeCreator(address),lockMntpTransfers(bool)
finishMigration(),lockMntpTransfers(bool)
pauseMigration(),lockMntpTransfers(bool)
startMigration(),"setMntpMigrated(address,bool,string)"
migrateMntp(string),"setMntpMigrated(address,bool,string)"
migrateGold(string),"setMntpMigrated(address,bool,string)"
changeCreator(address),"setMntpMigrated(address,bool,string)"
finishMigration(),"setMntpMigrated(address,bool,string)"
pauseMigration(),"setMntpMigrated(address,bool,string)"
"setGoldMigrated(address,bool,string)","setMntpMigrated(address,bool,string)"
startMigration(),changeCreator(address)
migrateMntp(string),changeCreator(address)
migrateGold(string),changeCreator(address)
finishMigration(),changeCreator(address)
pauseMigration(),changeCreator(address)
startMigration(),finishMigration()
migrateMntp(string),finishMigration()
migrateGold(string),finishMigration()
changeCreator(address),finishMigration()
pauseMigration(),finishMigration()
startMigration(),transferReward(address)
migrateMntp(string),transferReward(address)
migrateGold(string),transferReward(address)
changeCreator(address),transferReward(address)
finishMigration(),transferReward(address)
pauseMigration(),transferReward(address)
startMigration(),lockGoldTransfers(bool)
migrateMntp(string),lockGoldTransfers(bool)
migrateGold(string),lockGoldTransfers(bool)
changeCreator(address),lockGoldTransfers(bool)
finishMigration(),lockGoldTransfers(bool)
pauseMigration(),lockGoldTransfers(bool)
startMigration(),pauseMigration()
migrateMntp(string),pauseMigration()
migrateGold(string),pauseMigration()
changeCreator(address),pauseMigration()
finishMigration(),pauseMigration()
startMigration(),"setGoldMigrated(address,bool,string)"
migrateMntp(string),"setGoldMigrated(address,bool,string)"
migrateGold(string),"setGoldMigrated(address,bool,string)"
changeCreator(address),"setGoldMigrated(address,bool,string)"
finishMigration(),"setGoldMigrated(address,bool,string)"
pauseMigration(),"setGoldMigrated(address,bool,string)"
"setMntpMigrated(address,bool,string)","setGoldMigrated(address,bool,string)"
