Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"addOwner(address,uint8)","transferFrom(address,address,uint256)"
p2pLocker(address),"transferFrom(address,address,uint256)"
"deleteOwner(address,uint8)","transferFrom(address,address,uint256)"
p2pUnlocker(address),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unblacklist(address),"transferFrom(address,address,uint256)"
"burn(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
blacklist(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)",p2pLocker(address)
"addOwner(address,uint8)",p2pLocker(address)
"transferFrom(address,address,uint256)",p2pLocker(address)
"deleteOwner(address,uint8)",p2pLocker(address)
p2pUnlocker(address),p2pLocker(address)
"decreaseApproval(address,uint256)",p2pLocker(address)
unblacklist(address),p2pLocker(address)
"burn(address,uint256)",p2pLocker(address)
"transfer(address,uint256)",p2pLocker(address)
"increaseApproval(address,uint256)",p2pLocker(address)
blacklist(address),p2pLocker(address)
setOpeningTime(),changeSuperOwnership(address)
offTimeLock(),changeSuperOwnership(address)
onTimeLock(),changeSuperOwnership(address)
changeHiddenOwnership(address),changeSuperOwnership(address)
"burn(address,uint256)",changeSuperOwnership(address)
setTEx(address),changeSuperOwnership(address)
changeSuperOwnership(address),destory()
setOpeningTime(),destory()
offTimeLock(),destory()
onTimeLock(),destory()
changeHiddenOwnership(address),destory()
"burn(address,uint256)",destory()
setTEx(address),destory()
changeSuperOwnership(address),changeHiddenOwnership(address)
setOpeningTime(),changeHiddenOwnership(address)
offTimeLock(),changeHiddenOwnership(address)
onTimeLock(),changeHiddenOwnership(address)
"burn(address,uint256)",changeHiddenOwnership(address)
setTEx(address),changeHiddenOwnership(address)
"approve(address,uint256)","burn(address,uint256)"
"addOwner(address,uint8)","burn(address,uint256)"
"transferFrom(address,address,uint256)","burn(address,uint256)"
p2pLocker(address),"burn(address,uint256)"
"deleteOwner(address,uint8)","burn(address,uint256)"
p2pUnlocker(address),"burn(address,uint256)"
"decreaseApproval(address,uint256)","burn(address,uint256)"
unblacklist(address),"burn(address,uint256)"
"transfer(address,uint256)","burn(address,uint256)"
"increaseApproval(address,uint256)","burn(address,uint256)"
blacklist(address),"burn(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"addOwner(address,uint8)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
p2pLocker(address),"transfer(address,uint256)"
"deleteOwner(address,uint8)","transfer(address,uint256)"
p2pUnlocker(address),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
unblacklist(address),"transfer(address,uint256)"
"burn(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
blacklist(address),"transfer(address,uint256)"
"approve(address,uint256)",blacklist(address)
"addOwner(address,uint8)",blacklist(address)
"transferFrom(address,address,uint256)",blacklist(address)
p2pLocker(address),blacklist(address)
"deleteOwner(address,uint8)",blacklist(address)
p2pUnlocker(address),blacklist(address)
"decreaseApproval(address,uint256)",blacklist(address)
unblacklist(address),blacklist(address)
"burn(address,uint256)",blacklist(address)
"transfer(address,uint256)",blacklist(address)
"increaseApproval(address,uint256)",blacklist(address)
