Source Function,Target Function
"transferFrom(address,address,uint256)","multiTransfer(address[],uint256[])"
"addRule(address,uint8,uint256[],uint8[])","multiTransfer(address[],uint256[])"
"addTimeT(address,uint256)","multiTransfer(address[],uint256[])"
"transfer(address,uint256)","multiTransfer(address[],uint256[])"
"freeze(address,bool)","multiTransfer(address[],uint256[])"
"multiFreeze(address[],bool[])","multiTransfer(address[],uint256[])"
"freezeWithTimestamp(address,uint256)","multiTransfer(address[],uint256[])"
"multiFreezeWithTimestamp(address[],uint256[])","multiTransfer(address[],uint256[])"
removeRule(address),"multiTransfer(address[],uint256[])"
changeAdmin(address),"multiTransfer(address[],uint256[])"
"pause(bool,bool)","multiTransfer(address[],uint256[])"
transferOwnership(address),"multiTransfer(address[],uint256[])"
"multiTransfer(address[],uint256[])","transferFrom(address,address,uint256)"
"addRule(address,uint8,uint256[],uint8[])","transferFrom(address,address,uint256)"
"addTimeT(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"freeze(address,bool)","transferFrom(address,address,uint256)"
"multiFreeze(address[],bool[])","transferFrom(address,address,uint256)"
"freezeWithTimestamp(address,uint256)","transferFrom(address,address,uint256)"
"multiFreezeWithTimestamp(address[],uint256[])","transferFrom(address,address,uint256)"
removeRule(address),"transferFrom(address,address,uint256)"
changeAdmin(address),"transferFrom(address,address,uint256)"
"pause(bool,bool)","transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"addRule(address,uint8,uint256[],uint8[])",changeAdmin(address)
"pause(bool,bool)",changeAdmin(address)
removeRule(address),changeAdmin(address)
transferOwnership(address),changeAdmin(address)
"multiTransfer(address[],uint256[])","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"addRule(address,uint8,uint256[],uint8[])","transfer(address,uint256)"
"addTimeT(address,uint256)","transfer(address,uint256)"
"freeze(address,bool)","transfer(address,uint256)"
"multiFreeze(address[],bool[])","transfer(address,uint256)"
"freezeWithTimestamp(address,uint256)","transfer(address,uint256)"
"multiFreezeWithTimestamp(address[],uint256[])","transfer(address,uint256)"
removeRule(address),"transfer(address,uint256)"
changeAdmin(address),"transfer(address,uint256)"
"pause(bool,bool)","transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"multiTransfer(address[],uint256[])","approveAndCall(address,uint256,bytes)"
"transferFrom(address,address,uint256)","approveAndCall(address,uint256,bytes)"
"addRule(address,uint8,uint256[],uint8[])","approveAndCall(address,uint256,bytes)"
"addTimeT(address,uint256)","approveAndCall(address,uint256,bytes)"
"transfer(address,uint256)","approveAndCall(address,uint256,bytes)"
"freeze(address,bool)","approveAndCall(address,uint256,bytes)"
"multiFreeze(address[],bool[])","approveAndCall(address,uint256,bytes)"
"freezeWithTimestamp(address,uint256)","approveAndCall(address,uint256,bytes)"
"multiFreezeWithTimestamp(address[],uint256[])","approveAndCall(address,uint256,bytes)"
removeRule(address),"approveAndCall(address,uint256,bytes)"
changeAdmin(address),"approveAndCall(address,uint256,bytes)"
"pause(bool,bool)","approveAndCall(address,uint256,bytes)"
transferOwnership(address),"approveAndCall(address,uint256,bytes)"
changeAdmin(address),"pause(bool,bool)"
"addRule(address,uint8,uint256[],uint8[])","pause(bool,bool)"
removeRule(address),"pause(bool,bool)"
transferOwnership(address),"pause(bool,bool)"
changeAdmin(address),transferOwnership(address)
"addRule(address,uint8,uint256[],uint8[])",transferOwnership(address)
"pause(bool,bool)",transferOwnership(address)
removeRule(address),transferOwnership(address)
