Source Function,Target Function
removeAlerter(address),enableTrade()
addAlerter(address),enableTrade()
disableTrade(),enableTrade()
transferAdmin(address),enableTrade()
claimAdmin(),enableTrade()
transferAdminQuickly(address),enableTrade()
addOperator(address),enableTrade()
removeOperator(address),enableTrade()
"setContracts(address,address,address)",enableTrade()
enableTrade(),removeAlerter(address)
addAlerter(address),removeAlerter(address)
disableTrade(),removeAlerter(address)
transferAdmin(address),removeAlerter(address)
claimAdmin(),removeAlerter(address)
transferAdminQuickly(address),removeAlerter(address)
addOperator(address),removeAlerter(address)
removeOperator(address),removeAlerter(address)
"setContracts(address,address,address)",removeAlerter(address)
"approveWithdrawAddress(address,address,bool)",removeAlerter(address)
enableTrade(),"withdrawToken(address,uint256,address)"
removeAlerter(address),"withdrawToken(address,uint256,address)"
addAlerter(address),"withdrawToken(address,uint256,address)"
disableTrade(),"withdrawToken(address,uint256,address)"
transferAdmin(address),"withdrawToken(address,uint256,address)"
claimAdmin(),"withdrawToken(address,uint256,address)"
transferAdminQuickly(address),"withdrawToken(address,uint256,address)"
addOperator(address),"withdrawToken(address,uint256,address)"
removeOperator(address),"withdrawToken(address,uint256,address)"
"setContracts(address,address,address)","withdrawToken(address,uint256,address)"
enableTrade(),addAlerter(address)
removeAlerter(address),addAlerter(address)
disableTrade(),addAlerter(address)
transferAdmin(address),addAlerter(address)
claimAdmin(),addAlerter(address)
transferAdminQuickly(address),addAlerter(address)
addOperator(address),addAlerter(address)
removeOperator(address),addAlerter(address)
"setContracts(address,address,address)",addAlerter(address)
"approveWithdrawAddress(address,address,bool)",addAlerter(address)
enableTrade(),"approveWithdrawAddress(address,address,bool)"
removeAlerter(address),"approveWithdrawAddress(address,address,bool)"
addAlerter(address),"approveWithdrawAddress(address,address,bool)"
disableTrade(),"approveWithdrawAddress(address,address,bool)"
transferAdmin(address),"approveWithdrawAddress(address,address,bool)"
claimAdmin(),"approveWithdrawAddress(address,address,bool)"
transferAdminQuickly(address),"approveWithdrawAddress(address,address,bool)"
addOperator(address),"approveWithdrawAddress(address,address,bool)"
removeOperator(address),"approveWithdrawAddress(address,address,bool)"
"setContracts(address,address,address)","approveWithdrawAddress(address,address,bool)"
removeAlerter(address),"withdraw(address,uint256,address)"
addAlerter(address),"withdraw(address,uint256,address)"
"approveWithdrawAddress(address,address,bool)","withdraw(address,uint256,address)"
addOperator(address),"withdraw(address,uint256,address)"
removeOperator(address),"withdraw(address,uint256,address)"
removeAlerter(address),disableTrade()
addAlerter(address),disableTrade()
"approveWithdrawAddress(address,address,bool)",disableTrade()
addOperator(address),disableTrade()
removeOperator(address),disableTrade()
enableTrade(),transferAdmin(address)
removeAlerter(address),transferAdmin(address)
addAlerter(address),transferAdmin(address)
disableTrade(),transferAdmin(address)
claimAdmin(),transferAdmin(address)
transferAdminQuickly(address),transferAdmin(address)
addOperator(address),transferAdmin(address)
removeOperator(address),transferAdmin(address)
"setContracts(address,address,address)",transferAdmin(address)
enableTrade(),transferAdminQuickly(address)
removeAlerter(address),transferAdminQuickly(address)
addAlerter(address),transferAdminQuickly(address)
disableTrade(),transferAdminQuickly(address)
transferAdmin(address),transferAdminQuickly(address)
claimAdmin(),transferAdminQuickly(address)
addOperator(address),transferAdminQuickly(address)
removeOperator(address),transferAdminQuickly(address)
"setContracts(address,address,address)",transferAdminQuickly(address)
enableTrade(),addOperator(address)
removeAlerter(address),addOperator(address)
addAlerter(address),addOperator(address)
disableTrade(),addOperator(address)
transferAdmin(address),addOperator(address)
claimAdmin(),addOperator(address)
transferAdminQuickly(address),addOperator(address)
removeOperator(address),addOperator(address)
"setContracts(address,address,address)",addOperator(address)
"approveWithdrawAddress(address,address,bool)",addOperator(address)
enableTrade(),removeOperator(address)
removeAlerter(address),removeOperator(address)
addAlerter(address),removeOperator(address)
disableTrade(),removeOperator(address)
transferAdmin(address),removeOperator(address)
claimAdmin(),removeOperator(address)
transferAdminQuickly(address),removeOperator(address)
addOperator(address),removeOperator(address)
"setContracts(address,address,address)",removeOperator(address)
"approveWithdrawAddress(address,address,bool)",removeOperator(address)
enableTrade(),"setContracts(address,address,address)"
removeAlerter(address),"setContracts(address,address,address)"
addAlerter(address),"setContracts(address,address,address)"
disableTrade(),"setContracts(address,address,address)"
transferAdmin(address),"setContracts(address,address,address)"
claimAdmin(),"setContracts(address,address,address)"
transferAdminQuickly(address),"setContracts(address,address,address)"
addOperator(address),"setContracts(address,address,address)"
removeOperator(address),"setContracts(address,address,address)"
enableTrade(),"withdrawEther(uint256,address)"
removeAlerter(address),"withdrawEther(uint256,address)"
addAlerter(address),"withdrawEther(uint256,address)"
disableTrade(),"withdrawEther(uint256,address)"
transferAdmin(address),"withdrawEther(uint256,address)"
claimAdmin(),"withdrawEther(uint256,address)"
transferAdminQuickly(address),"withdrawEther(uint256,address)"
addOperator(address),"withdrawEther(uint256,address)"
removeOperator(address),"withdrawEther(uint256,address)"
"setContracts(address,address,address)","withdrawEther(uint256,address)"
