Source Function,Target Function
gameEnd(),"registerPlayer(string,uint256)"
"dislikeCelebrity(uint256,uint256)","registerPlayer(string,uint256)"
"createCard(string,uint256)","registerPlayer(string,uint256)"
"likeCelebrity(uint256,uint256)","registerPlayer(string,uint256)"
gameEnd(),"dislikeCelebrity(uint256,uint256)"
"registerPlayer(string,uint256)","dislikeCelebrity(uint256,uint256)"
"createCard(string,uint256)","dislikeCelebrity(uint256,uint256)"
"likeCelebrity(uint256,uint256)","dislikeCelebrity(uint256,uint256)"
gameEnd(),"createCard(string,uint256)"
"registerPlayer(string,uint256)","createCard(string,uint256)"
"dislikeCelebrity(uint256,uint256)","createCard(string,uint256)"
"likeCelebrity(uint256,uint256)","createCard(string,uint256)"
gameEnd(),getCardId(string)
"registerPlayer(string,uint256)",getCardId(string)
"dislikeCelebrity(uint256,uint256)",getCardId(string)
"createCard(string,uint256)",getCardId(string)
"likeCelebrity(uint256,uint256)",getCardId(string)
gameEnd(),"likeCelebrity(uint256,uint256)"
"registerPlayer(string,uint256)","likeCelebrity(uint256,uint256)"
"dislikeCelebrity(uint256,uint256)","likeCelebrity(uint256,uint256)"
"createCard(string,uint256)","likeCelebrity(uint256,uint256)"
gameEnd(),getPlayerId(string)
"registerPlayer(string,uint256)",getPlayerId(string)
"dislikeCelebrity(uint256,uint256)",getPlayerId(string)
"createCard(string,uint256)",getPlayerId(string)
"likeCelebrity(uint256,uint256)",getPlayerId(string)
gameEnd(),"getPlayerBetCount(string,uint256,string)"
"registerPlayer(string,uint256)","getPlayerBetCount(string,uint256,string)"
"dislikeCelebrity(uint256,uint256)","getPlayerBetCount(string,uint256,string)"
"createCard(string,uint256)","getPlayerBetCount(string,uint256,string)"
"likeCelebrity(uint256,uint256)","getPlayerBetCount(string,uint256,string)"
