Source Function,Target Function
"transferFrom(address,address,uint256)","approve(address,uint256)"
unlock(address),"approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
lock(address),"approve(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
unlock(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
lock(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
unlock(address),"transfer(address,uint256)"
lock(address),"transfer(address,uint256)"
