Source Function,Target Function
"registerName(address,string)",removeName(bytes32)
addRegistrar(address),removeName(bytes32)
removeRegistrar(address),removeName(bytes32)
"transferName(address,string)",removeName(bytes32)
"finalizeName(address,string)",removeName(bytes32)
removeName(bytes32),"registerName(address,string)"
addRegistrar(address),"registerName(address,string)"
removeRegistrar(address),"registerName(address,string)"
"transferName(address,string)","registerName(address,string)"
"finalizeName(address,string)","registerName(address,string)"
transferOwnership(address),renounceOwnership()
renounceOwnership(),addRegistrar(address)
transferOwnership(address),addRegistrar(address)
renounceOwnership(),removeRegistrar(address)
transferOwnership(address),removeRegistrar(address)
removeName(bytes32),"transferName(address,string)"
"registerName(address,string)","transferName(address,string)"
addRegistrar(address),"transferName(address,string)"
removeRegistrar(address),"transferName(address,string)"
"finalizeName(address,string)","transferName(address,string)"
renounceOwnership(),transferOwnership(address)
removeName(bytes32),"finalizeName(address,string)"
"registerName(address,string)","finalizeName(address,string)"
addRegistrar(address),"finalizeName(address,string)"
removeRegistrar(address),"finalizeName(address,string)"
"transferName(address,string)","finalizeName(address,string)"
