Source Function,Target Function
createGame(uint256),closeMyGame(uint256)
createGame(uint256),"joinGameAndBattle(uint256,uint256)"
closeMyGame(uint256),"joinGameAndBattle(uint256,uint256)"
setCEO(address),withdrawTipForDeveloper()
setCOO(address),withdrawTipForDeveloper()
unpause(),withdrawTipForDeveloper()
createGame(uint256),withdrawTipForDeveloper()
setCFO(address),withdrawTipForDeveloper()
setNewAddress(address),withdrawTipForDeveloper()
pause(),withdrawTipForDeveloper()
"joinGameAndBattle(uint256,uint256)",withdrawTipForDeveloper()
