Source Function,Target Function
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
removeCentralUser(address),"transfer(address,uint256)"
setCentralUser(address),"transfer(address,uint256)"
"feeCentralTransfer(address,address,uint256,uint256)","transfer(address,uint256)"
"centralTransfer(address,address,uint256)","transfer(address,uint256)"
"approve(address,uint256)","feeCentralTransfer(address,address,uint256,uint256)"
"transferFrom(address,address,uint256)","feeCentralTransfer(address,address,uint256,uint256)"
removeCentralUser(address),"feeCentralTransfer(address,address,uint256,uint256)"
"transfer(address,uint256)","feeCentralTransfer(address,address,uint256,uint256)"
setCentralUser(address),"feeCentralTransfer(address,address,uint256,uint256)"
"centralTransfer(address,address,uint256)","feeCentralTransfer(address,address,uint256,uint256)"
"approve(address,uint256)","centralTransfer(address,address,uint256)"
"transferFrom(address,address,uint256)","centralTransfer(address,address,uint256)"
removeCentralUser(address),"centralTransfer(address,address,uint256)"
"transfer(address,uint256)","centralTransfer(address,address,uint256)"
setCentralUser(address),"centralTransfer(address,address,uint256)"
"feeCentralTransfer(address,address,uint256,uint256)","centralTransfer(address,address,uint256)"
