Source Function,Target Function
"transferFrom(address,address,uint256)","approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
upgrade(uint256),"approve(address,uint256)"
haltTokenTransferFromAddress(address),"approve(address,uint256)"
"burnFrom(address,uint256)","approve(address,uint256)"
withdrawTokens(),"approve(address,uint256)"
resumeTokenTransferFromAddress(address),"approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
assignOwnership(address),"approve(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
upgrade(uint256),"transferFrom(address,address,uint256)"
haltTokenTransferFromAddress(address),"transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
withdrawTokens(),"transferFrom(address,address,uint256)"
resumeTokenTransferFromAddress(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
assignOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
upgrade(uint256),burn(uint256)
haltTokenTransferFromAddress(address),burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
withdrawTokens(),burn(uint256)
resumeTokenTransferFromAddress(address),burn(uint256)
"transfer(address,uint256)",burn(uint256)
assignOwnership(address),burn(uint256)
"approve(address,uint256)",upgrade(uint256)
"transferFrom(address,address,uint256)",upgrade(uint256)
burn(uint256),upgrade(uint256)
haltTokenTransferFromAddress(address),upgrade(uint256)
"burnFrom(address,uint256)",upgrade(uint256)
withdrawTokens(),upgrade(uint256)
resumeTokenTransferFromAddress(address),upgrade(uint256)
"transfer(address,uint256)",upgrade(uint256)
assignOwnership(address),upgrade(uint256)
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
upgrade(uint256),"burnFrom(address,uint256)"
haltTokenTransferFromAddress(address),"burnFrom(address,uint256)"
withdrawTokens(),"burnFrom(address,uint256)"
resumeTokenTransferFromAddress(address),"burnFrom(address,uint256)"
"transfer(address,uint256)","burnFrom(address,uint256)"
assignOwnership(address),"burnFrom(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
upgrade(uint256),"transfer(address,uint256)"
haltTokenTransferFromAddress(address),"transfer(address,uint256)"
"burnFrom(address,uint256)","transfer(address,uint256)"
withdrawTokens(),"transfer(address,uint256)"
resumeTokenTransferFromAddress(address),"transfer(address,uint256)"
assignOwnership(address),"transfer(address,uint256)"
