Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
withdrawal_Lem(uint256),"transferFrom(address,address,uint256)"
"TokenERC20(uint256,string,string)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256)"
"approve(address,uint256)",withdrawal_Lem(uint256)
"transferFrom(address,address,uint256)",withdrawal_Lem(uint256)
"TokenERC20(uint256,string,string)",withdrawal_Lem(uint256)
"approveAndCall(address,uint256,bytes)",withdrawal_Lem(uint256)
"freezeAccount(address,bool)",withdrawal_Lem(uint256)
