Source Function,Target Function
buyEngineer(uint256[]),"attack(address,uint256)"
"setVirusInfo(uint256,uint256)","attack(address,uint256)"
addVirusDefence(uint256),"attack(address,uint256)"
withdrawPayments(),"attack(address,uint256)"
setAtkNowForPlayer(address),"attack(address,uint256)"
setContractsMiniGame(address),"attack(address,uint256)"
"subVirus(address,uint256)","attack(address,uint256)"
removeContractMiniGame(address),"attack(address,uint256)"
buyBooster(uint256),"attack(address,uint256)"
"addVirus(address,uint256)","attack(address,uint256)"
"addTimeUnequalledDefence(address,uint256)","attack(address,uint256)"
buyEngineer(uint256[]),addVirusDefence(uint256)
"setVirusInfo(uint256,uint256)",addVirusDefence(uint256)
"attack(address,uint256)",addVirusDefence(uint256)
withdrawPayments(),addVirusDefence(uint256)
setAtkNowForPlayer(address),addVirusDefence(uint256)
setContractsMiniGame(address),addVirusDefence(uint256)
"subVirus(address,uint256)",addVirusDefence(uint256)
removeContractMiniGame(address),addVirusDefence(uint256)
buyBooster(uint256),addVirusDefence(uint256)
"addVirus(address,uint256)",addVirusDefence(uint256)
"addTimeUnequalledDefence(address,uint256)",addVirusDefence(uint256)
buyEngineer(uint256[]),withdrawPayments()
"setVirusInfo(uint256,uint256)",withdrawPayments()
"attack(address,uint256)",withdrawPayments()
addVirusDefence(uint256),withdrawPayments()
setAtkNowForPlayer(address),withdrawPayments()
setContractsMiniGame(address),withdrawPayments()
"subVirus(address,uint256)",withdrawPayments()
removeContractMiniGame(address),withdrawPayments()
buyBooster(uint256),withdrawPayments()
"addVirus(address,uint256)",withdrawPayments()
"addTimeUnequalledDefence(address,uint256)",withdrawPayments()
buyEngineer(uint256[]),"claimPrizePool(address,uint256)"
"setVirusInfo(uint256,uint256)","claimPrizePool(address,uint256)"
"attack(address,uint256)","claimPrizePool(address,uint256)"
addVirusDefence(uint256),"claimPrizePool(address,uint256)"
withdrawPayments(),"claimPrizePool(address,uint256)"
setAtkNowForPlayer(address),"claimPrizePool(address,uint256)"
setContractsMiniGame(address),"claimPrizePool(address,uint256)"
"subVirus(address,uint256)","claimPrizePool(address,uint256)"
removeContractMiniGame(address),"claimPrizePool(address,uint256)"
buyBooster(uint256),"claimPrizePool(address,uint256)"
"addVirus(address,uint256)","claimPrizePool(address,uint256)"
"addTimeUnequalledDefence(address,uint256)","claimPrizePool(address,uint256)"
becomeGameSponsor(),"claimPrizePool(address,uint256)"
buyEngineer(uint256[]),setAtkNowForPlayer(address)
"setVirusInfo(uint256,uint256)",setAtkNowForPlayer(address)
"attack(address,uint256)",setAtkNowForPlayer(address)
addVirusDefence(uint256),setAtkNowForPlayer(address)
withdrawPayments(),setAtkNowForPlayer(address)
setContractsMiniGame(address),setAtkNowForPlayer(address)
"subVirus(address,uint256)",setAtkNowForPlayer(address)
removeContractMiniGame(address),setAtkNowForPlayer(address)
buyBooster(uint256),setAtkNowForPlayer(address)
"addVirus(address,uint256)",setAtkNowForPlayer(address)
"addTimeUnequalledDefence(address,uint256)",setAtkNowForPlayer(address)
buyEngineer(uint256[]),"subVirus(address,uint256)"
"setVirusInfo(uint256,uint256)","subVirus(address,uint256)"
"attack(address,uint256)","subVirus(address,uint256)"
addVirusDefence(uint256),"subVirus(address,uint256)"
withdrawPayments(),"subVirus(address,uint256)"
setAtkNowForPlayer(address),"subVirus(address,uint256)"
setContractsMiniGame(address),"subVirus(address,uint256)"
removeContractMiniGame(address),"subVirus(address,uint256)"
buyBooster(uint256),"subVirus(address,uint256)"
"addVirus(address,uint256)","subVirus(address,uint256)"
"addTimeUnequalledDefence(address,uint256)","subVirus(address,uint256)"
buyEngineer(uint256[]),"addVirus(address,uint256)"
"setVirusInfo(uint256,uint256)","addVirus(address,uint256)"
"attack(address,uint256)","addVirus(address,uint256)"
addVirusDefence(uint256),"addVirus(address,uint256)"
withdrawPayments(),"addVirus(address,uint256)"
setAtkNowForPlayer(address),"addVirus(address,uint256)"
setContractsMiniGame(address),"addVirus(address,uint256)"
"subVirus(address,uint256)","addVirus(address,uint256)"
removeContractMiniGame(address),"addVirus(address,uint256)"
buyBooster(uint256),"addVirus(address,uint256)"
"addTimeUnequalledDefence(address,uint256)","addVirus(address,uint256)"
buyEngineer(uint256[]),"addTimeUnequalledDefence(address,uint256)"
"setVirusInfo(uint256,uint256)","addTimeUnequalledDefence(address,uint256)"
"attack(address,uint256)","addTimeUnequalledDefence(address,uint256)"
addVirusDefence(uint256),"addTimeUnequalledDefence(address,uint256)"
withdrawPayments(),"addTimeUnequalledDefence(address,uint256)"
setAtkNowForPlayer(address),"addTimeUnequalledDefence(address,uint256)"
setContractsMiniGame(address),"addTimeUnequalledDefence(address,uint256)"
"subVirus(address,uint256)","addTimeUnequalledDefence(address,uint256)"
removeContractMiniGame(address),"addTimeUnequalledDefence(address,uint256)"
buyBooster(uint256),"addTimeUnequalledDefence(address,uint256)"
"addVirus(address,uint256)","addTimeUnequalledDefence(address,uint256)"
